
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	Cond [S/m]	QV:SEADATANET
MTPII-MATER/I1_C_118	I1000	*	1998-03-24T08:00:00.000	17.99	38.4721667	327563	120	2368	1998-03-24T08:00:00.000	0	118	1		9		9	13.94	0	4.648	0
									1998-03-24T09:00:00.000	0	118	1	.074	0	184	0	13.94	0	4.641	0
									1998-03-24T10:00:00.000	0	118	1	.038	0	222	0	13.94	0	4.645	0
									1998-03-24T11:00:00.000	0	118	1	.027	0	256	0	13.94	0	4.645	0
									1998-03-24T12:00:00.000	0	118	1	.035	0	269	0	13.94	0	4.645	0
									1998-03-24T13:00:00.000	0	118	1	.037	0	294	0	13.94	0	4.641	0
									1998-03-24T14:00:00.000	0	118	1	.038	0	324	0	13.93	0	4.634	0
									1998-03-24T15:00:00.000	0	118	1	.028	0	356	0	13.89	0	4.634	0
									1998-03-24T16:00:00.000	0	118	1	.011	0	352	0	13.94	0	4.638	0
									1998-03-24T17:00:00.000	0	118	1	.011	0	9	0	13.89	0	4.634	0
									1998-03-24T18:00:00.000	0	118	1	.011	0	57	0	13.87	0	4.631	0
									1998-03-24T19:00:00.000	0	118	1	.011	0	71	0	13.87	0	4.631	0
									1998-03-24T20:00:00.000	0	118	1	.011	0	98	0	13.87	0	4.634	0
									1998-03-24T21:00:00.000	0	118	1	.011	0	99	0	13.87	0	4.634	0
									1998-03-24T22:00:00.000	0	118	1	.011	0	117	0	13.89	0	4.634	0
									1998-03-24T23:00:00.000	0	118	1	.011	0	113	0	13.91	0	4.634	0
									1998-03-25T00:00:00.000	0	118	1	.011	0	141	0	13.91	0	4.634	0
									1998-03-25T01:00:00.000	0	118	1	.024	0	161	0	13.91	0	4.634	0
									1998-03-25T02:00:00.000	0	118	1	.025	0	187	0	13.91	0	4.634	0
									1998-03-25T03:00:00.000	0	118	1	.014	0	202	0	13.91	0	4.634	0
									1998-03-25T04:00:00.000	0	118	1	.019	0	207	0	13.94	0	4.638	0
									1998-03-25T05:00:00.000	0	118	1	.028	0	218	0	13.96	0	4.641	0
									1998-03-25T06:00:00.000	0	118	1	.025	0	242	0	14.02	0	4.656	0
									1998-03-25T07:00:00.000	0	118	1	.043	0	280	0	14	0	4.652	0
									1998-03-25T08:00:00.000	0	118	1	.027	0	296	0	13.97	0	4.645	0
									1998-03-25T09:00:00.000	0	118	1	.051	0	325	0	13.94	0	4.638	0
									1998-03-25T10:00:00.000	0	118	1	.043	0	3	0	13.93	0	4.638	0
									1998-03-25T11:00:00.000	0	118	1	.018	0	13	0	13.96	0	4.648	0
									1998-03-25T12:00:00.000	0	118	1	.035	0	38	0	13.89	0	4.634	0
									1998-03-25T13:00:00.000	0	118	1	.059	0	78	0	13.87	0	4.627	0
									1998-03-25T14:00:00.000	0	118	1	.07	0	89	0	13.87	0	4.631	0
									1998-03-25T15:00:00.000	0	118	1	.085	0	131	0	13.93	0	4.638	0
									1998-03-25T16:00:00.000	0	118	1	.117	0	153	0	13.93	0	4.634	0
									1998-03-25T17:00:00.000	0	118	1	.131	0	167	0	13.96	0	4.641	0
									1998-03-25T18:00:00.000	0	118	1	.133	0	194	0	14.05	0	4.663	0
									1998-03-25T19:00:00.000	0	118	1	.137	0	195	0	13.99	0	4.648	0
									1998-03-25T20:00:00.000	0	118	1	.126	0	214	0	13.97	0	4.641	0
									1998-03-25T21:00:00.000	0	118	1	.133	0	237	0	13.97	0	4.645	0
									1998-03-25T22:00:00.000	0	118	1	.102	0	241	0	13.97	0	4.641	0
									1998-03-25T23:00:00.000	0	118	1	.099	0	274	0	14	0	4.648	0
									1998-03-26T00:00:00.000	0	118	1	.117	0	316	0	13.96	0	4.641	0
									1998-03-26T01:00:00.000	0	118	1	.083	0	333	0	13.91	0	4.634	0
									1998-03-26T02:00:00.000	0	118	1	.085	0	353	0	13.93	0	4.638	0
									1998-03-26T03:00:00.000	0	118	1	.081	0	10	0	13.94	0	4.641	0
									1998-03-26T04:00:00.000	0	118	1	.064	0	31	0	13.94	0	4.638	0
									1998-03-26T05:00:00.000	0	118	1	.052	0	40	0	13.94	0	4.634	0
									1998-03-26T06:00:00.000	0	118	1	.067	0	51	0	13.89	0	4.634	0
									1998-03-26T07:00:00.000	0	118	1	.087	0	96	0	13.89	0	4.634	0
									1998-03-26T08:00:00.000	0	118	1	.105	0	119	0	13.87	0	4.627	0
									1998-03-26T09:00:00.000	0	118	1	.076	0	124	0	13.91	0	4.634	0
									1998-03-26T10:00:00.000	0	118	1	.061	0	157	0	13.94	0	4.634	0
									1998-03-26T11:00:00.000	0	118	1	.062	0	168	0	13.96	0	4.648	0
									1998-03-26T12:00:00.000	0	118	1	.071	0	192	0	14	0	4.656	0
									1998-03-26T13:00:00.000	0	118	1	.073	0	217	0	14	0	4.652	0
									1998-03-26T14:00:00.000	0	118	1	.069	0	229	0	14	0	4.656	0
									1998-03-26T15:00:00.000	0	118	1	.06	0	261	0	14	0	4.656	0
									1998-03-26T16:00:00.000	0	118	1	.061	0	285	0	14.02	0	4.652	0
									1998-03-26T17:00:00.000	0	118	1	.058	0	285	0	14.03	0	4.66	0
									1998-03-26T18:00:00.000	0	118	1	.06	0	313	0	14	0	4.652	0
									1998-03-26T19:00:00.000	0	118	1	.086	0	343	0	13.97	0	4.648	0
									1998-03-26T20:00:00.000	0	118	1	.096	0	10	0	13.96	0	4.641	0
									1998-03-26T21:00:00.000	0	118	1	.09	0	27	0	13.93	0	4.641	0
									1998-03-26T22:00:00.000	0	118	1	.078	0	47	0	13.87	0	4.634	0
									1998-03-26T23:00:00.000	0	118	1	.069	0	57	0	13.89	0	4.634	0
									1998-03-27T00:00:00.000	0	118	1	.054	0	78	0	13.89	0	4.634	0
									1998-03-27T01:00:00.000	0	118	1	.053	0	84	0	13.91	0	4.634	0
									1998-03-27T02:00:00.000	0	118	1	.044	0	103	0	13.93	0	4.638	0
									1998-03-27T03:00:00.000	0	118	1	.04	0	152	0	13.96	0	4.645	0
									1998-03-27T04:00:00.000	0	118	1	.049	0	183	0	13.97	0	4.652	0
									1998-03-27T05:00:00.000	0	118	1	.058	0	189	0	13.97	0	4.648	0
									1998-03-27T06:00:00.000	0	118	1	.054	0	186	0	13.97	0	4.648	0
									1998-03-27T07:00:00.000	0	118	1	.046	0	198	0	13.96	0	4.641	0
									1998-03-27T08:00:00.000	0	118	1	.047	0	230	0	14	0	4.648	0
									1998-03-27T09:00:00.000	0	118	1	.046	0	248	0	13.99	0	4.648	0
									1998-03-27T10:00:00.000	0	118	1	.047	0	295	0	13.97	0	4.645	0
									1998-03-27T11:00:00.000	0	118	1	.033	0	284	0	13.94	0	4.641	0
									1998-03-27T12:00:00.000	0	118	1	.014	0	304	0	13.94	0	4.641	0
									1998-03-27T13:00:00.000	0	118	1	.028	0	335	0	13.97	0	4.645	0
									1998-03-27T14:00:00.000	0	118	1	.063	0	347	0	14.02	0	4.656	0
									1998-03-27T15:00:00.000	0	118	1	.069	0	6	0	13.99	0	4.649	0
									1998-03-27T16:00:00.000	0	118	1	.052	0	23	0	13.94	0	4.634	0
									1998-03-27T17:00:00.000	0	118	1	.063	0	40	0	13.94	0	4.645	0
									1998-03-27T18:00:00.000	0	118	1	.078	0	61	0	13.94	0	4.638	0
									1998-03-27T19:00:00.000	0	118	1	.076	0	78	0	13.93	0	4.638	0
									1998-03-27T20:00:00.000	0	118	1	.062	0	100	0	13.93	0	4.634	0
									1998-03-27T21:00:00.000	0	118	1	.059	0	65	0	13.89	0	4.634	0
									1998-03-27T22:00:00.000	0	118	1	.023	0	115	0	13.89	0	4.638	0
									1998-03-27T23:00:00.000	0	118	1	.032	0	171	0	13.96	0	4.652	0
									1998-03-28T00:00:00.000	0	118	1	.046	0	195	0	13.97	0	4.648	0
									1998-03-28T01:00:00.000	0	118	1	.057	0	219	0	13.97	0	4.648	0
									1998-03-28T02:00:00.000	0	118	1	.041	0	255	0	13.96	0	4.648	0
									1998-03-28T03:00:00.000	0	118	1	.037	0	268	0	13.97	0	4.652	0
									1998-03-28T04:00:00.000	0	118	1	.049	0	265	0	13.96	0	4.648	0
									1998-03-28T05:00:00.000	0	118	1	.058	0	262	0	13.94	0	4.645	0
									1998-03-28T06:00:00.000	0	118	1	.041	0	299	0	13.93	0	4.634	0
									1998-03-28T07:00:00.000	0	118	1	.038	0	330	0	13.91	0	4.634	0
									1998-03-28T08:00:00.000	0	118	1	.047	0	347	0	13.91	0	4.634	0
									1998-03-28T09:00:00.000	0	118	1	.032	0	17	0	13.93	0	4.638	0
									1998-03-28T10:00:00.000	0	118	1	.037	0	37	0	13.94	0	4.634	0
