
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET	TotPressSeaFL [dbar]	QV:SEADATANET
ULIXEI	UXI00	*	1980-04-25T12:00:00.000	15.664	38.2583333	300930	120	230	1980-04-25T12:00:04.000	1	80	1	14.4	1	.215	1	79	1	80.9	1
									1980-04-25T12:05:04.000	1	80	1	14.3	1	.403	1	70	1	80.5	1
									1980-04-25T12:10:04.000	1	80	1	14.3	1	.455	1	45	1	80.9	1
									1980-04-25T12:15:04.000	1	80	1	14.3	1	.523	1	53	1	80.9	1
									1980-04-25T12:20:04.000	1	80	1	14.4	1	.301	1	20	1	80.9	1
									1980-04-25T12:25:04.000	1	80	1	14.4	1	.318	1	8	3	80.9	1
									1980-04-25T12:30:04.000	1	80	1	14.4	1	.301	1	28	1	81.3	1
									1980-04-25T12:35:04.000	1	80	1	14.4	1	.386	1	34	1	80.9	1
									1980-04-25T12:40:04.000	1	80	1	14.4	1	.369	1	31	1	81.3	1
									1980-04-25T12:45:04.000	1	80	1	14.4	1	.386	1	59	3	81.3	1
									1980-04-25T12:50:04.000	1	80	1	14.4	1	.369	1	37	3	81.3	1
									1980-04-25T12:55:04.000	1	80	1	14.4	1	.403	1	51	1	81.7	1
									1980-04-25T13:00:04.000	1	80	1	14.3	1	.421	1	48	1	81.3	1
									1980-04-25T13:05:04.000	1	80	1	14.4	1	.403	1	48	1	81.7	1
									1980-04-25T13:10:04.000	1	80	1	14.4	1	.421	1	59	3	81.7	1
									1980-04-25T13:15:04.000	1	80	1	14.4	1	.335	1	39	3	81.7	1
									1980-04-25T13:20:04.000	1	80	1	14.4	1	.318	1	59	1	82.2	1
									1980-04-25T13:25:04.000	1	80	1	14.4	1	.284	1	56	1	82.2	1
									1980-04-25T13:30:04.000	1	80	1	14.5	1	.215	1	45	3	82.2	1
