
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
DIBAG5	DIB50	*	1982-12-14T07:18:00.000	15.2423333	37.2011667	300861	120	52	1982-12-14T07:18:00.000	1	49	1	16.6	1	.072	1	121	1
									1982-12-14T07:28:00.000	1	49	1	16.6	1	.061	1	121	1
									1982-12-14T07:38:00.000	1	49	1	16.6	1	.068	1	118	1
									1982-12-14T07:48:00.000	1	49	1	16.6	1	.087	1	115	1
									1982-12-14T07:58:00.000	1	49	1	16.6	1	.093	1	115	1
									1982-12-14T08:08:00.000	1	49	1	16.6	1	.093	1	96	1
									1982-12-14T08:18:00.000	1	49	1	16.5	1	.078	1	48	1
									1982-12-14T08:28:00.000	1	49	1	16.5	1	.11	1	42	1
									1982-12-14T08:38:00.000	1	49	1	16.6	1	.108	1	45	1
									1982-12-14T08:48:00.000	1	49	1	16.6	1	.115	1	45	1
									1982-12-14T08:58:00.000	1	49	1	16.6	1	.121	1	42	1
									1982-12-14T09:08:00.000	1	49	1	16.6	1	.136	1	42	1
									1982-12-14T09:18:00.000	1	49	1	16.5	1	.134	1	42	1
									1982-12-14T09:28:00.000	1	49	1	16.6	1	.149	1	42	1
									1982-12-14T09:38:00.000	1	49	1	16.5	1	.149	1	42	1
									1982-12-14T09:48:00.000	1	49	1	16.5	1	.16	1	45	1
									1982-12-14T09:58:00.000	1	49	1	16.4	1	.162	1	42	1
									1982-12-14T10:08:00.000	1	49	1	16.4	1	.162	1	45	1
									1982-12-14T10:18:00.000	1	49	1	16.5	1	.147	1	45	1
									1982-12-14T10:28:00.000	1	49	1	16.5	1	.14	1	45	1
									1982-12-14T10:38:00.000	1	49	1	16.5	1	.14	1	45	1
									1982-12-14T10:48:00.000	1	49	1	16.5	1	.157	1	39	1
									1982-12-14T10:58:00.000	1	49	1	16.5	1	.151	1	45	1
									1982-12-14T11:08:00.000	1	49	1	16.5	1	.153	1	39	1
									1982-12-14T11:18:00.000	1	49	1	16.5	1	.145	1	42	1
									1982-12-14T11:28:00.000	1	49	1	16.5	1	.132	1	45	1
									1982-12-14T11:38:00.000	1	49	1	16.5	1	.147	1	45	1
									1982-12-14T11:48:00.000	1	49	1	16.5	1	.132	1	48	1
									1982-12-14T11:58:00.000	1	49	1	16.5	1	.132	1	48	1
									1982-12-14T12:08:00.000	1	49	1	16.5	1	.125	1	48	1
									1982-12-14T12:18:00.000	1	49	1	16.5	1	.127	1	45	1
									1982-12-14T12:28:00.000	1	49	1	16.5	1	.123	1	51	1
									1982-12-14T12:38:00.000	1	49	1	16.5	1	.117	1	48	1
									1982-12-14T12:48:00.000	1	49	1	16.5	1	.117	1	48	1
									1982-12-14T12:58:00.000	1	49	1	16.5	1	.115	1	51	1
									1982-12-14T13:08:00.000	1	49	1	16.5	1	.104	1	51	1
									1982-12-14T13:18:00.000	1	49	1	16.5	1	.106	1	48	1
									1982-12-14T13:28:00.000	1	49	1	16.5	1	.121	1	48	1
									1982-12-14T13:38:00.000	1	49	1	16.4	1	.121	1	45	1
									1982-12-14T13:48:00.000	1	49	1	16.5	1	.112	1	51	1
									1982-12-14T13:58:00.000	1	49	1	16.5	1	.098	1	51	1
									1982-12-14T14:08:00.000	1	49	1	16.5	1	.102	1	51	1
									1982-12-14T14:18:00.000	1	49	1	16.4	1	.115	1	39	1
									1982-12-14T14:28:00.000	1	49	1	16.4	1	.119	1	45	1
									1982-12-14T14:38:00.000	1	49	1	16.5	1	.1	1	53	1
									1982-12-14T14:48:00.000	1	49	1	16.4	1	.127	1	39	1
									1982-12-14T14:58:00.000	1	49	1	16.5	1	.11	1	42	1
									1982-12-14T15:08:00.000	1	49	1	16.5	1	.108	1	42	1
									1982-12-14T15:18:00.000	1	49	1	16.5	1	.098	1	45	1
									1982-12-14T15:28:00.000	1	49	1	16.4	1	.098	1	48	1
									1982-12-14T15:38:00.000	1	49	1	16.5	1	.104	1	48	1
									1982-12-14T15:48:00.000	1	49	1	16.4	1	.106	1	45	1
									1982-12-14T15:58:00.000	1	49	1	16.5	1	.083	1	48	1
									1982-12-14T16:08:00.000	1	49	1	16.5	1	.08	1	53	1
									1982-12-14T16:18:00.000	1	49	1	16.5	1	.072	1	51	1
									1982-12-14T16:28:00.000	1	49	1	16.4	1	.091	1	51	1
									1982-12-14T16:38:00.000	1	49	1	16.4	1	.1	1	45	1
									1982-12-14T16:48:00.000	1	49	1	16.4	1	.091	1	51	1
									1982-12-14T16:58:00.000	1	49	1	16.4	1	.095	1	37	1
									1982-12-14T17:08:00.000	1	49	1	16.4	1	.1	1	42	1
									1982-12-14T17:18:00.000	1	49	1	16.5	1	.08	1	42	1
									1982-12-14T17:28:00.000	1	49	1	16.5	1	.055	1	45	1
									1982-12-14T17:38:00.000	1	49	1	16.5	1	.053	1	48	1
									1982-12-14T17:48:00.000	1	49	1	16.5	1	.046	1	51	1
									1982-12-14T17:58:00.000	1	49	1	16.4	1	.08	1	42	1
									1982-12-14T18:08:00.000	1	49	1	16.4	1	.059	1	45	1
									1982-12-14T18:18:00.000	1	49	1	16.4	1	.053	1	51	1
									1982-12-14T18:28:00.000	1	49	1	16.4	1	.055	1	45	1
									1982-12-14T18:38:00.000	1	49	1	16.4	1	.046	1	45	1
									1982-12-14T18:48:00.000	1	49	1	16.4	1	.04	1	48	1
									1982-12-14T18:58:00.000	1	49	1	16.4	1	.01	1	51	1
									1982-12-14T19:08:00.000	1	49	1	16.4	1	.01	1	56	1
									1982-12-14T19:18:00.000	1	49	1	16.4	1	.014	1	82	1
									1982-12-14T19:28:00.000	1	49	1	16.4	1	.01	1	90	1
									1982-12-14T19:38:00.000	1	49	1	16.4	1	.01	1	132	1
									1982-12-14T19:48:00.000	1	49	1	16.4	1	.01	1	146	1
									1982-12-14T19:58:00.000	1	49	1	16.4	1	.018	1	146	1
									1982-12-14T20:08:00.000	1	49	1	16.4	1	.014	1	135	1
									1982-12-14T20:18:00.000	1	49	1	16.4	1	.01	1	121	1
									1982-12-14T20:28:00.000	1	49	1	16.4	1	.012	1	124	1
									1982-12-14T20:38:00.000	1	49	1	16.4	1	.01	1	101	1
									1982-12-14T20:48:00.000	1	49	1	16.4	1	.035	1	34	1
									1982-12-14T20:58:00.000	1	49	1	16.4	1	.078	1	42	1
									1982-12-14T21:08:00.000	1	49	1	16.5	1	.089	1	23	1
									1982-12-14T21:18:00.000	1	49	1	16.4	1	.095	1	25	1
									1982-12-14T21:28:00.000	1	49	1	16.4	1	.089	1	20	1
