
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
ULIXEI	UXI00	*	1980-02-27T12:58:00.000	15.664	38.2583333	300907	120	235	1980-02-27T12:58:00.000	1	222	1	14.8	1	.938	1	79	1
									1980-02-27T13:03:00.000	1	222	1	14.8	1	.751	1	73	1
									1980-02-27T13:08:00.000	1	222	1	14.8	1	.734	1	68	1
									1980-02-27T13:13:00.000	1	222	1	14.8	1	.717	1	68	1
									1980-02-27T13:18:00.000	1	222	1	14.8	1	.615	1	53	1
									1980-02-27T13:23:00.000	1	222	1	14.8	1	.649	1	51	1
									1980-02-27T13:28:00.000	1	222	1	14.8	1	.649	1	42	1
									1980-02-27T13:33:00.000	1	222	1	14.8	1	.615	1	45	1
									1980-02-27T13:38:00.000	1	222	1	14.8	1	.581	1	45	1
									1980-02-27T13:43:00.000	1	222	1	14.8	1	.581	1	45	1
									1980-02-27T13:48:00.000	1	222	1	14.8	1	.615	1	45	1
									1980-02-27T13:53:00.000	1	222	1	14.8	1	.547	1	56	1
									1980-02-27T13:58:00.000	1	222	1	14.8	1	.462	1	53	1
									1980-02-27T14:03:00.000	1	222	1	14.8	1	.445	1	73	1
									1980-02-27T14:08:00.000	1	222	1	14.8	1	.428	1	82	1
									1980-02-27T14:13:00.000	1	222	1	14.8	1	.462	1	42	3
									1980-02-27T14:18:00.000	1	222	1	14.8	1	.377	1	68	1
									1980-02-27T14:23:00.000	1	222	1	14.8	1	.411	1	68	1
									1980-02-27T14:28:00.000	1	222	1	14.8	1	.598	1	25	1
									1980-02-27T14:33:00.000	1	222	1	14.8	1	.751	1	34	1
									1980-02-27T14:38:00.000	1	222	1	14.8	1	.751	1	34	1
									1980-02-27T14:43:00.000	1	222	1	14.8	1	.785	1	28	1
									1980-02-27T14:48:00.000	1	222	1	14.8	1	.802	1	25	1
									1980-02-27T14:53:00.000	1	222	1	14.8	1	.836	1	25	1
									1980-02-27T14:58:00.000	1	222	1	14.8	1	.802	1	31	1
									1980-02-27T15:03:00.000	1	222	1	14.8	1	.785	1	34	1
