
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
									1979-08-17T15:20:00.000	1	184	1	.138	1	357	1
									1979-08-17T15:35:00.000	1	184	1	.141	1	304	1
									1979-08-17T15:50:00.000	1	184	1	.132	1	312	1
									1979-08-17T16:05:00.000	1	184	1	.112	1	287	1
									1979-08-17T16:20:00.000	1	184	1	.144	1	287	1
									1979-08-17T16:35:00.000	1	184	1	.106	1	278	1
									1979-08-17T16:50:00.000	1	184	1	.115	1	281	1
									1979-08-17T17:05:00.000	1	184	1	.1	1	278	1
									1979-08-17T17:20:00.000	1	184	1	.138	1	273	1
									1979-08-17T17:35:00.000	1	184	1	.15	1	98	1
									1979-08-17T17:50:00.000	1	184	1	.156	1	93	1
									1979-08-17T18:05:00.000	1	184	1	.129	1	104	1
									1979-08-17T18:20:00.000	1	184	1	.121	1	160	3
									1979-08-17T18:35:00.000	1	184	1	.121	1	53	1
									1979-08-17T18:50:00.000	1	184	1	.124	1	48	1
									1979-08-17T19:05:00.000	1	184	1	.124	1	166	1
									1979-08-17T19:20:00.000	1	184	1	.135	1	312	1
									1979-08-17T19:35:00.000	1	184	1	.193	1	309	1
									1979-08-17T19:50:00.000	1	184	1	.17	1	98	1
									1979-08-17T20:05:00.000	1	184	1	.205	1	98	1
									1979-08-17T20:20:00.000	1	184	1	.196	1	121	3
									1979-08-17T20:35:00.000	1	184	1	.249	1	25	1
									1979-08-17T20:50:00.000	1	184	1	.397	1	23	1
									1979-08-17T21:05:00.000	1	184	1	.316	1	8	3
									1979-08-17T21:20:00.000	1	184	1	.22	1	222	3
									1979-08-17T21:35:00.000	1	184	1	.214	1	186	1
									1979-08-17T21:50:00.000	1	184	1	.196	1	186	1
									1979-08-17T22:05:00.000	1	184	1	.185	1	8	1
									1979-08-17T22:20:00.000	1	184	1	.182	1	17	1
									1979-08-17T22:35:00.000	1	184	1	.138	1	183	1
									1979-08-17T22:50:00.000	1	184	1	.086	1	183	1
									1979-08-17T23:05:00.000	1	184	1	.057	1	194	3
									1979-08-17T23:20:00.000	1	184	1	.042	1	8	3
									1979-08-17T23:35:00.000	1	184	1	.071	1	20	1
									1979-08-17T23:50:00.000	1	184	1	.066	1	31	1
									1979-08-18T00:05:00.000	1	184	1	.057	1	37	1
									1979-08-18T00:20:00.000	1	184	1	.025	1	87	3
									1979-08-18T00:35:00.000	1	184	1	0	1	62	1
									1979-08-18T00:50:00.000	1	184	1	0	1	39	3
									1979-08-18T01:05:00.000	1	184	1	0	1	84	3
									1979-08-18T01:20:00.000	1	184	1	0	1	59	3
									1979-08-18T01:35:00.000	1	184	1	0	1	84	1
									1979-08-18T01:50:00.000	1	184	1	0	1	169	3
									1979-08-18T02:05:00.000	1	184	1	0	1	45	3
									1979-08-18T02:20:00.000	1	184	1	.036	1	143	3
									1979-08-18T02:35:00.000	1	184	1	.025	1	118	1
									1979-08-18T02:50:00.000	1	184	1	.034	1	124	1
									1979-08-18T03:05:00.000	1	184	1	.06	1	270	1
									1979-08-18T03:20:00.000	1	184	1	.063	1	290	3
									1979-08-18T03:35:00.000	1	184	1	.025	1	278	1
									1979-08-18T03:50:00.000	1	184	1	0	1	270	1
									1979-08-18T04:05:00.000	1	184	1	.034	1	270	1
									1979-08-18T04:20:00.000	1	184	1	.068	1	98	1
									1979-08-18T04:35:00.000	1	184	1	.103	1	98	1
									1979-08-18T04:50:00.000	1	184	1	.115	1	132	3
									1979-08-18T05:05:00.000	1	184	1	.083	1	84	1
									1979-08-18T05:20:00.000	1	184	1	.127	1	70	3
									1979-08-18T05:35:00.000	1	184	1	.147	1	143	1
									1979-08-18T05:50:00.000	1	184	1	.167	1	290	1
									1979-08-18T06:05:00.000	1	184	1	.333	1	304	1
									1979-08-18T06:20:00.000	1	184	1	.272	1	312	1
									1979-08-18T06:35:00.000	1	184	1	.22	1	287	1
									1979-08-18T06:50:00.000	1	184	1	.164	1	287	1
									1979-08-18T07:05:00.000	1	184	1	.066	1	141	1
									1979-08-18T07:20:00.000	1	184	1	.153	1	51	1
									1979-08-18T07:35:00.000	1	184	1	.272	1	59	1
									1979-08-18T07:50:00.000	1	184	1	.38	3	56	1
									1979-08-18T08:05:00.000	1	184	1	.196	1	166	3
									1979-08-18T08:20:00.000	1	184	1	.074	1	93	3
									1979-08-18T08:35:00.000	1	184	1	.025	1	335	3
									1979-08-18T08:50:00.000	1	184	1	.045	1	225	1
									1979-08-18T09:05:00.000	1	184	1	.109	1	219	1
									1979-08-18T09:20:00.000	1	184	1	.202	1	20	1
									1979-08-18T09:35:00.000	1	184	1	.208	1	14	1
									1979-08-18T09:50:00.000	1	184	1	.205	1	8	1
									1979-08-18T10:05:00.000	1	184	1	.214	1	34	1
									1979-08-18T10:20:00.000	1	184	1	.196	1	34	1
									1979-08-18T10:35:00.000	1	184	1	.164	1	23	1
