
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET	TotPressSeaFL [dbar]	QV:SEADATANET
ULIXEI	UXI00	*	1980-04-25T12:10:00.000	15.664	38.2583333	300929	120	230	1980-04-25T12:10:00.000	1	43	1	15.3	1	.284	1	208	1	43.9	1
									1980-04-25T12:15:00.000	1	43	1	15.1	1	.147	1	8	3	44.3	1
									1980-04-25T12:20:00.000	1	43	1	15	1	.164	1	20	3	43.9	1
									1980-04-25T12:25:00.000	1	43	1	15	1	.232	1	0	3	43.9	1
									1980-04-25T12:30:00.000	1	43	1	15.1	1	.249	1	20	3	44.3	1
									1980-04-25T12:35:00.000	1	43	1	15.1	1	.267	1	8	3	44.3	1
									1980-04-25T12:40:00.000	1	43	1	15.1	1	.284	1	357	1	44.7	1
									1980-04-25T12:45:00.000	1	43	1	15.1	1	.284	1	349	1	44.3	1
									1980-04-25T12:50:00.000	1	43	1	15.1	1	.284	1	354	1	44.7	1
									1980-04-25T12:55:00.000	1	43	1	15.1	1	.284	1	354	1	44.7	1
									1980-04-25T13:00:00.000	1	43	1	15.1	1	.301	1	352	1	44.7	1
									1980-04-25T13:05:00.000	1	43	1	15.1	1	.335	1	6	3	44.7	1
									1980-04-25T13:10:00.000	1	43	1	15.1	1	.318	1	352	1	44.7	1
									1980-04-25T13:15:00.000	1	43	1	15.1	1	.318	1	349	1	44.7	1
									1980-04-25T13:20:00.000	1	43	1	15.2	1	.284	1	357	1	45.1	1
									1980-04-25T13:25:00.000	1	43	1	15.2	1	.232	1	3	3	44.7	1
									1980-04-25T13:30:00.000	1	43	1	15.2	1	.198	1	354	1	45.5	1
									1980-04-25T13:35:00.000	1	43	1	15.2	1	.181	1	346	1	45.1	1
									1980-04-25T13:40:00.000	1	43	1	15.2	1	.164	1	352	1	45.1	1
									1980-04-25T13:45:00.000	1	43	1	15.2	1	.095	1	37	1	44.7	1
									1980-04-25T13:50:00.000	1	43	1	15.2	1	.078	1	14	1	45.1	1
									1980-04-25T13:55:00.000	1	43	1	15.2	1	.095	1	14	1	45.1	1
									1980-04-25T14:00:00.000	1	43	1	15.2	1	.061	1	17	1	45.5	1
									1980-04-25T14:05:00.000	1	43	1	15.2	1	.078	1	28	3	45.5	1
									1980-04-25T14:10:00.000	1	43	1	15.2	1	.13	1	14	1	45.5	1
									1980-04-25T14:15:00.000	1	43	1	15.2	1	.061	1	6	1	45.1	1
									1980-04-25T14:20:00.000	1	43	1	15.2	1	.078	1	3	1	45.9	1
									1980-04-25T14:25:00.000	1	43	1	15.2	1	.095	1	56	1	45.1	1
									1980-04-25T14:30:00.000	1	43	1	15.2	1	.078	1	65	1	45.9	1
									1980-04-25T14:35:00.000	1	43	1	15.2	1	.112	1	84	3	46.3	1
									1980-04-25T14:40:00.000	1	43	1	15.1	1	.112	1	62	3	45.9	1
									1980-04-25T14:45:00.000	1	43	1	15.1	1	.112	1	79	1	46.3	1
									1980-04-25T14:50:00.000	1	43	1	15.1	1	.147	1	84	1	45.5	1
									1980-04-25T14:55:00.000	1	43	1	15.1	1	.181	1	76	1	45.5	1
									1980-04-25T15:00:00.000	1	43	1	15.1	1	.078	1	138	1	45.5	1
									1980-04-25T15:05:00.000	1	43	1	15.1	1	.078	1	172	1	45.1	1
									1980-04-25T15:10:00.000	1	43	1	15.1	1	.164	1	180	1	44.7	1
									1980-04-25T15:15:00.000	1	43	1	15.1	1	.181	1	233	3	44.7	1
									1980-04-25T15:20:00.000	1	43	1	15.1	1	.13	1	219	1	44.3	1
