
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET	TotPressSeaFL [dbar]	QV:SEADATANET
ULIXED	UXD00	*	1980-04-23T15:20:00.000	15.6115	38.2478333	300913	120	112	1980-04-23T15:20:00.000	1	36	1	13.4	1	.301	1	59	1	36	1
									1980-04-23T15:25:00.000	1	36	1	13.5	1	.181	1	82	3	36	1
									1980-04-23T15:30:00.000	1	36	1	13.5	1	.147	1	62	3	36	1
									1980-04-23T15:35:00.000	1	36	1	13.5	1	.164	1	96	3	36	1
									1980-04-23T15:40:00.000	1	36	1	13.4	1	.147	1	79	1	36	1
									1980-04-23T15:45:00.000	1	36	1	13.4	1	.113	1	82	1	36	1
									1980-04-23T15:50:00.000	1	36	1	13.6	1	.078	1	177	1	36	1
									1980-04-23T15:55:00.000	1	36	1	13.7	1	.198	1	205	1	35.8	1
									1980-04-23T16:00:00.000	1	36	1	14	1	.369	1	267	1	36	1
									1980-04-23T16:05:00.000	1	36	1	14	1	.541	1	267	1	36	1
									1980-04-23T16:10:00.000	1	36	1	14	1	.489	1	262	1	36.2	1
									1980-04-23T16:15:00.000	1	36	1	14	1	.506	1	256	1	36.2	1
									1980-04-23T16:20:00.000	1	36	1	14	1	.575	1	253	1	36.2	1
									1980-04-23T16:25:00.000	1	36	1	14	1	.558	1	248	1	36	1
									1980-04-23T16:30:00.000	1	36	1	14	1	.575	1	253	1	36	1
									1980-04-23T16:35:00.000	1	36	1	14	1	.575	1	250	1	36.2	1
									1980-04-23T16:40:00.000	1	36	1	14	1	.558	1	250	1	36.2	1
									1980-04-23T16:45:00.000	1	36	1	14	1	.541	1	253	1	36	1
									1980-04-23T16:50:00.000	1	36	1	14	1	.506	1	250	1	36.2	1
									1980-04-23T16:55:00.000	1	36	1	14	1	.489	1	250	1	36	1
									1980-04-23T17:00:00.000	1	36	1	14	1	.523	1	253	1	36.2	1
									1980-04-23T17:05:00.000	1	36	1	14	1	.523	1	245	1	36.2	1
									1980-04-23T17:10:00.000	1	36	1	14	1	.558	1	248	1	36	1
									1980-04-23T17:15:00.000	1	36	1	14	1	.575	1	253	1	36.2	1
									1980-04-23T17:20:00.000	1	36	1	14	1	.609	1	253	1	36.2	1
									1980-04-23T17:25:00.000	1	36	1	14	1	.609	1	256	1	36.2	1
									1980-04-23T17:30:00.000	1	36	1	14	1	.626	1	256	1	36.2	1
									1980-04-23T17:35:00.000	1	36	1	14	1	.626	1	253	1	36.2	1
									1980-04-23T17:40:00.000	1	36	1	14	1	.626	1	256	1	36.2	1
									1980-04-23T17:45:00.000	1	36	1	14	1	.626	1	253	1	36.2	1
