
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
ULIXEA	UXA00	*	1980-06-04T06:46:00.000	15.6283333	38.2336667	300935	120	101	1980-06-04T06:46:00.000	1	77	1	15.2	1	.677	1	48	1
									1980-06-04T06:51:00.000	1	77	1	15.3	1	.575	1	59	3
									1980-06-04T06:56:00.000	1	77	1	15.3	1	.626	1	39	1
									1980-06-04T07:01:00.000	1	77	1	15.3	1	.677	1	37	1
									1980-06-04T07:06:00.000	1	77	1	15.4	1	.609	1	37	1
									1980-06-04T07:11:00.000	1	77	1	15.2	1	.814	1	28	1
									1980-06-04T07:16:00.000	1	77	1	15.1	1	.883	1	31	1
									1980-06-04T07:21:00.000	1	77	1	15.1	1	.883	1	28	1
									1980-06-04T07:26:00.000	1	77	1	15.1	1	.883	1	25	1
									1980-06-04T07:31:00.000	1	77	1	15.1	1	.934	1	37	1
									1980-06-04T07:36:00.000	1	77	1	15.1	1	1.002	1	34	1
									1980-06-04T07:41:00.000	1	77	1	14.8	1	1.122	1	37	1
									1980-06-04T07:46:00.000	1	77	1	14.4	1	1.174	1	37	1
									1980-06-04T07:51:00.000	1	77	1	14.6	1	1.139	1	31	1
									1980-06-04T07:56:00.000	1	77	1	14.3	1	1.208	1	39	1
									1980-06-04T08:01:00.000	1	77	1	14.3	1	1.191	1	42	1
									1980-06-04T08:06:00.000	1	77	1	14.3	1	1.139	1	51	1
									1980-06-04T08:11:00.000	1	77	1	14	1	1.191	1	34	1
									1980-06-04T08:16:00.000	1	77	1	13.8	1	1.225	1	31	1
									1980-06-04T08:21:00.000	1	77	1	13.8	1	1.208	1	37	1
