
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET	TotPressSeaFL [dbar]	QV:SEADATANET
ULIXEH	UXH00	*	1980-02-27T14:44:00.000	15.6783333	38.2503333	300901	120	156	1980-02-27T14:44:30.000	1	51	1	13.8	1	.335	1	343	1	51.7	1
									1980-02-27T14:49:30.000	1	51	1	13.8	1	.13	1	329	1	51.7	1
									1980-02-27T14:54:30.000	1	51	1	13.8	1	.112	1	6	1	51.7	1
									1980-02-27T14:59:30.000	1	51	1	13.8	1	.13	1	8	1	51.7	1
									1980-02-27T15:04:30.000	1	51	1	13.8	1	.13	1	335	1	51.7	1
									1980-02-27T15:09:30.000	1	51	1	13.8	1	.112	1	349	3	51.7	1
									1980-02-27T15:14:30.000	1	51	1	13.8	1	.112	1	14	3	51.7	1
									1980-02-27T15:19:30.000	1	51	1	13.8	1	.095	1	25	3	51.7	1
									1980-02-27T15:24:30.000	1	51	1	13.8	1	.112	1	14	1	51.7	1
									1980-02-27T15:29:30.000	1	51	1	13.8	1	.061	1	23	1	51.7	1
									1980-02-27T15:34:30.000	1	51	1	13.8	1	.01	1	211	1	51.7	1
									1980-02-27T15:39:30.000	1	51	1	13.8	1	.044	1	208	1	51.7	1
									1980-02-27T15:44:30.000	1	51	1	13.8	1	.061	1	197	1	51.7	1
									1980-02-27T15:49:30.000	1	51	1	13.8	1	.112	1	188	1	51.7	1
									1980-02-27T15:54:30.000	1	51	1	13.8	1	.078	1	141	3	51.7	1
									1980-02-27T15:59:30.000	1	51	1	13.8	1	.061	1	177	3	51.7	1
									1980-02-27T16:04:30.000	1	51	1	13.9	1	.044	1	82	1	51.7	1
									1980-02-27T16:09:30.000	1	51	1	13.9	1	.061	1	45	3	51.7	1
									1980-02-27T16:14:30.000	1	51	1	13.9	1	.13	1	73	3	51.7	1
									1980-02-27T16:19:30.000	1	51	1	13.9	1	.181	1	51	1	51.7	1
									1980-02-27T16:24:30.000	1	51	1	13.9	1	.044	1	48	1	51.7	1
									1980-02-27T16:29:30.000	1	51	1	13.9	1	.027	1	73	1	51.7	1
									1980-02-27T16:34:30.000	1	51	1	13.9	1	.061	1	318	3	51.7	1
									1980-02-27T16:39:30.000	1	51	1	13.9	1	.078	1	284	1	51.7	1
									1980-02-27T16:44:30.000	1	51	1	13.9	1	.044	1	250	1	51.7	1
									1980-02-27T16:49:30.000	1	51	1	13.9	1	.027	1	208	3	51.7	1
									1980-02-27T16:54:30.000	1	51	1	13.9	1	.095	1	253	1	51.7	1
									1980-02-27T16:59:30.000	1	51	1	13.9	1	.044	1	276	3	51.7	1
									1980-02-27T17:04:30.000	1	51	1	13.9	1	.027	1	172	3	51.7	1
									1980-02-27T17:09:30.000	1	51	1	13.9	1	.044	1	205	1	51.7	1
									1980-02-27T17:14:30.000	1	51	1	13.9	1	.112	1	248	3	51.7	1
									1980-02-27T17:19:30.000	1	51	1	13.9	1	.13	1	236	1	51.7	1
									1980-02-27T17:24:30.000	1	51	1	13.9	1	.164	1	217	3	51.7	1
									1980-02-27T17:29:30.000	1	51	1	13.9	1	.164	1	233	1	51.7	1
									1980-02-27T17:34:30.000	1	51	1	13.9	1	.198	1	225	1	51.7	1
									1980-02-27T17:39:30.000	1	51	1	13.9	1	.198	1	217	1	51.7	1
									1980-02-27T17:44:30.000	1	51	1	13.9	1	.198	1	225	1	51.7	1
									1980-02-27T17:49:30.000	1	51	1	13.9	1	.249	1	219	1	51.7	1
									1980-02-27T17:54:30.000	1	51	1	13.9	1	.301	1	219	1	51.7	1
									1980-02-27T17:59:30.000	1	51	1	13.9	1	.249	1	222	1	51.7	1
									1980-02-27T18:04:30.000	1	51	1	13.8	1	.352	1	228	1	51.7	1
									1980-02-27T18:09:30.000	1	51	1	13.8	1	.438	1	225	1	51.7	1
									1980-02-27T18:14:30.000	1	51	1	13.8	1	.438	1	225	1	51.7	1
									1980-02-27T18:19:30.000	1	51	1	13.8	1	.455	1	225	1	51.7	1
									1980-02-27T18:24:30.000	1	51	1	13.8	1	.472	1	228	1	51.7	1
									1980-02-27T18:29:30.000	1	51	1	13.8	1	.472	1	225	1	51.7	1
									1980-02-27T18:34:30.000	1	51	1	13.8	1	.489	1	231	1	51.7	1
									1980-02-27T18:39:30.000	1	51	1	13.8	1	.489	1	231	1	51.7	1
									1980-02-27T18:44:30.000	1	51	1	13.8	1	.575	1	231	1	51.7	1
									1980-02-27T18:49:30.000	1	51	1	13.8	1	.575	1	231	1	51.7	1
									1980-02-27T18:54:30.000	1	51	1	13.8	1	.609	1	228	1	51.7	1
									1980-02-27T18:59:30.000	1	51	1	13.8	1	.626	1	231	1	51.7	1
									1980-02-27T19:04:30.000	1	51	1	13.8	1	.66	1	233	1	51.7	1
									1980-02-27T19:09:30.000	1	51	1	13.8	1	.643	1	231	1	51.7	1
									1980-02-27T19:14:30.000	1	51	1	13.8	1	.677	1	225	1	51.7	1
									1980-02-27T19:19:30.000	1	51	1	13.8	1	.677	1	236	1	51.7	1
									1980-02-27T19:24:30.000	1	51	1	13.8	1	.677	1	233	1	51.7	1
									1980-02-27T19:29:30.000	1	51	1	13.8	1	.694	1	222	3	51.7	1
									1980-02-27T19:34:30.000	1	51	1	13.8	1	.712	1	239	1	51.7	1
									1980-02-27T19:39:30.000	1	51	1	13.8	1	.712	1	236	1	51.7	1
									1980-02-27T19:44:30.000	1	51	1	13.8	1	.694	1	236	1	51.7	1
