
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
ULIXEC	UXC00	*	1980-06-04T08:35:00.000	15.6208333	38.2395	300936	120	107	1980-06-04T08:35:00.000	1	1	1	15.3	1	.318	1	96	1
									1980-06-04T08:40:00.000	1	1	1	15.4	1	.098	1	160	3
									1980-06-04T08:45:00.000	1	1	1	14.8	1	.054	1	107	3
									1980-06-04T08:50:00.000	1	1	1	14.9	1	.138	1	121	1
									1980-06-04T08:55:00.000	1	1	1	14.9	1	.116	1	278	3
									1980-06-04T09:00:00.000	1	1	1	15.2	1	.124	1	138	1
									1980-06-04T09:05:00.000	1	1	1	14.6	1	.239	3	73	1
									1980-06-04T09:10:00.000	1	1	1	15.3	1	.067	3	56	1
									1980-06-04T09:15:00.000	1	1	1	16.1	1	.208	3	42	3
									1980-06-04T09:20:00.000	1	1	1	16	1	.032	1	73	1
									1980-06-04T09:25:00.000	1	1	1	15.6	1	.032	1	107	1
									1980-06-04T09:30:00.000	1	1	1	15.2	1	.041	1	118	3
									1980-06-04T09:35:00.000	1	1	1	14.6	1	.107	1	84	1
									1980-06-04T09:40:00.000	1	1	1	14.6	1	.199	1	93	1
									1980-06-04T09:45:00.000	1	1	1	15.2	1	.067	1	211	1
									1980-06-04T09:50:00.000	1	1	1	15.9	1	.036	1	250	1
									1980-06-04T09:55:00.000	1	1	1	16.9	1	.041	1	248	1
									1980-06-04T10:00:00.000	1	1	1	17.5	1	.111	1	248	1
									1980-06-04T10:05:00.000	1	1	1		9	.058	1	245	1
									1980-06-04T10:10:00.000	1	1	1		9	.34	1	250	1
									1980-06-04T10:15:00.000	1	1	1		9	.432	1	245	1
									1980-06-04T10:20:00.000	1	1	1		9	.511	1	248	1
									1980-06-04T10:25:00.000	1	1	1		9	.529	1	250	1
									1980-06-04T10:30:00.000	1	1	1		9	.599	1	250	1
									1980-06-04T10:35:00.000	1	1	1		9	.586	1	253	1
									1980-06-04T10:40:00.000	1	1	1		9	.608	1	253	1
									1980-06-04T10:45:00.000	1	1	1		9	.652	1	253	1
									1980-06-04T10:50:00.000	1	1	1		9	.74	1	256	1
									1980-06-04T10:55:00.000	1	1	1		9	.788	1	259	1
									1980-06-04T11:00:00.000	1	1	1		9	.85	1	262	1
									1980-06-04T11:05:00.000	1	1	1		9	.885	1	259	1
									1980-06-04T11:10:00.000	1	1	1		9	.942	1	259	1
									1980-06-04T11:15:00.000	1	1	1		9	.911	1	256	1
									1980-06-04T11:20:00.000	1	1	1		9	.986	1	256	1
									1980-06-04T11:25:00.000	1	1	1		9	.955	1	259	1
									1980-06-04T11:30:00.000	1	1	1		9	.951	1	259	1
									1980-06-04T11:35:00.000	1	1	1		9	.946	1	256	1
									1980-06-04T11:40:00.000	1	1	1		9	1.043	1	262	1
									1980-06-04T11:45:00.000	1	1	1		9	1.074	1	262	1
									1980-06-04T11:50:00.000	1	1	1		9	1.105	1	264	1
									1980-06-04T11:55:00.000	1	1	1		9	1.118	1	264	1
									1980-06-04T12:00:00.000	1	1	1		9	1.144	1	264	1
									1980-06-04T12:05:00.000	1	1	1		9	1.175	1	264	1
									1980-06-04T12:10:00.000	1	1	1		9	1.215	1	262	1
									1980-06-04T12:15:00.000	1	1	1		9	1.241	1	262	1
									1980-06-04T12:20:00.000	1	1	1		9	1.25	1	262	1
									1980-06-04T12:25:00.000	1	1	1		9	1.316	1	262	1
									1980-06-04T12:30:00.000	1	1	1		9	1.32	1	262	1
									1980-06-04T12:35:00.000	1	1	1		9	1.329	1	262	1
									1980-06-04T12:40:00.000	1	1	1		9	1.386	1	262	1
									1980-06-04T12:45:00.000	1	1	1		9	1.448	1	262	1
									1980-06-04T12:50:00.000	1	1	1		9	1.509	1	262	1
									1980-06-04T12:55:00.000	1	1	1		9	1.531	1	262	1
									1980-06-04T13:00:00.000	1	1	1		9	1.562	1	262	1
									1980-06-04T13:05:00.000	1	1	1		9	1.558	1	262	1
									1980-06-04T13:10:00.000	1	1	1		9	1.54	1	262	1
									1980-06-04T13:15:00.000	1	1	1		9	1.54	1	262	1
									1980-06-04T13:20:00.000	1	1	1		9	1.544	1	262	1
									1980-06-04T13:25:00.000	1	1	1		9	1.549	1	262	1
									1980-06-04T13:30:00.000	1	1	1		9	1.553	1	262	1
									1980-06-04T13:35:00.000	1	1	1		9	1.527	1	259	1
									1980-06-04T13:40:00.000	1	1	1		9	1.496	1	259	1
									1980-06-04T13:45:00.000	1	1	1		9	1.492	1	259	1
									1980-06-04T13:50:00.000	1	1	1		9	1.448	1	262	1
									1980-06-04T13:55:00.000	1	1	1		9	1.461	1	262	1
									1980-06-04T14:00:00.000	1	1	1		9	1.434	1	262	1
									1980-06-04T14:05:00.000	1	1	1		9	1.443	1	262	1
									1980-06-04T14:10:00.000	1	1	1		9	1.404	1	262	1
									1980-06-04T14:15:00.000	1	1	1		9	1.399	1	262	1
									1980-06-04T14:20:00.000	1	1	1		9	1.377	1	262	1
									1980-06-04T14:25:00.000	1	1	1		9	1.373	1	262	1
									1980-06-04T14:30:00.000	1	1	1		9	1.333	1	264	1
									1980-06-04T14:35:00.000	1	1	1		9	1.285	1	264	1
									1980-06-04T14:40:00.000	1	1	1		9	1.201	1	267	1
									1980-06-04T14:45:00.000	1	1	1		9	1.131	1	264	1
									1980-06-04T14:50:00.000	1	1	1		9	1.118	1	264	1
									1980-06-04T14:55:00.000	1	1	1		9	1.14	1	262	1
									1980-06-04T15:00:00.000	1	1	1		9	1.131	1	259	1
									1980-06-04T15:05:00.000	1	1	1		9	1.109	1	256	1
									1980-06-04T15:10:00.000	1	1	1		9	1.078	1	256	1
									1980-06-04T15:15:00.000	1	1	1		9	1.021	1	256	1
									1980-06-04T15:20:00.000	1	1	1		9	.964	1	253	1
									1980-06-04T15:25:00.000	1	1	1		9	.911	1	253	1
									1980-06-04T15:30:00.000	1	1	1		9	.867	1	256	1
									1980-06-04T15:35:00.000	1	1	1		9	.766	1	262	1
									1980-06-04T15:40:00.000	1	1	1		9	.67	1	264	1
									1980-06-04T15:45:00.000	1	1	1		9	.652	1	262	1
									1980-06-04T15:50:00.000	1	1	1		9	.665	1	264	1
									1980-06-04T15:55:00.000	1	1	1		9	.692	1	264	1
									1980-06-04T16:00:00.000	1	1	1		9	.643	1	264	1
									1980-06-04T16:05:00.000	1	1	1		9	.621	1	264	1
									1980-06-04T16:10:00.000	1	1	1		9	.56	1	264	1
									1980-06-04T16:15:00.000	1	1	1		9	.397	1	256	1
									1980-06-04T16:20:00.000	1	1	1		9	.331	1	250	1
									1980-06-04T16:25:00.000	1	1	1		9	.256	1	250	1
									1980-06-04T16:30:00.000	1	1	1		9	.045	1	250	1
									1980-06-04T16:35:00.000	1	1	1		9	.032	1	250	1
									1980-06-04T16:40:00.000	1	1	1		9	.032	1	219	3
									1980-06-04T16:45:00.000	1	1	1		9	.032	1	236	1
									1980-06-04T16:50:00.000	1	1	1		9	.032	1	273	3
									1980-06-04T16:55:00.000	1	1	1		9	.032	1	82	1
									1980-06-04T17:00:00.000	1	1	1		9	.032	1	82	1
									1980-06-04T17:05:00.000	1	1	1		9	.032	1	104	1
									1980-06-04T17:10:00.000	1	1	1		9	.133	3	104	1
									1980-06-04T17:15:00.000	1	1	1		9	.032	1	93	3
									1980-06-04T17:20:00.000	1	1	1		9	.111	1	113	1
									1980-06-04T17:25:00.000	1	1	1		9	.428	1	113	1
									1980-06-04T17:30:00.000	1	1	1		9	.384	1	113	1
									1980-06-04T17:35:00.000	1	1	1		9	.432	1	118	1
									1980-06-04T17:40:00.000	1	1	1		9	.371	1	110	1
									1980-06-04T17:45:00.000	1	1	1		9	.34	1	107	1
									1980-06-04T17:50:00.000	1	1	1		9	.406	1	104	1
									1980-06-04T17:55:00.000	1	1	1		9	.397	1	104	1
									1980-06-04T18:00:00.000	1	1	1		9	.344	1	98	1
									1980-06-04T18:05:00.000	1	1	1		9	.406	1	98	1
									1980-06-04T18:10:00.000	1	1	1		9	.516	1	87	1
									1980-06-04T18:15:00.000	1	1	1		9	.48	1	93	1
									1980-06-04T18:20:00.000	1	1	1		9	.713	1	76	1
									1980-06-04T18:25:00.000	1	1	1		9	.872	1	59	1
									1980-06-04T18:30:00.000	1	1	1		9	1.034	1	53	1
									1980-06-04T18:35:00.000	1	1	1		9	1.083	1	59	1
									1980-06-04T18:40:00.000	1	1	1		9	1.122	1	53	1
									1980-06-04T18:45:00.000	1	1	1		9	1.127	1	53	1
									1980-06-04T18:50:00.000	1	1	1		9	1.206	1	51	1
									1980-06-04T18:55:00.000	1	1	1		9	1.232	1	51	1
									1980-06-04T19:00:00.000	1	1	1		9	1.25	1	51	1
									1980-06-04T19:05:00.000	1	1	1		9	1.294	1	51	1
									1980-06-04T19:10:00.000	1	1	1		9	1.316	1	51	1
									1980-06-04T19:15:00.000	1	1	1		9	1.351	1	53	1
									1980-06-04T19:20:00.000	1	1	1		9	1.368	1	48	1
									1980-06-04T19:25:00.000	1	1	1		9	1.355	1	51	1
									1980-06-04T19:30:00.000	1	1	1		9	1.364	1	51	1
									1980-06-04T19:35:00.000	1	1	1		9	1.373	1	48	1
									1980-06-04T19:40:00.000	1	1	1		9	1.382	1	53	1
									1980-06-04T19:45:00.000	1	1	1		9	1.368	1	53	1
									1980-06-04T19:50:00.000	1	1	1		9	1.368	1	56	1
									1980-06-04T19:55:00.000	1	1	1		9	1.351	1	56	1
									1980-06-04T20:00:00.000	1	1	1		9	1.338	1	56	1
									1980-06-04T20:05:00.000	1	1	1		9	1.329	1	59	1
									1980-06-04T20:10:00.000	1	1	1		9	1.32	1	51	1
									1980-06-04T20:15:00.000	1	1	1		9	1.342	1	51	1
									1980-06-04T20:20:00.000	1	1	1		9	1.311	1	51	1
									1980-06-04T20:25:00.000	1	1	1		9	1.32	1	51	1
									1980-06-04T20:30:00.000	1	1	1		9	1.285	1	51	1
									1980-06-04T20:35:00.000	1	1	1		9	1.281	1	51	1
									1980-06-04T20:40:00.000	1	1	1		9	1.259	1	51	1
									1980-06-04T20:45:00.000	1	1	1		9	1.241	1	48	1
									1980-06-04T20:50:00.000	1	1	1		9	1.241	1	51	1
									1980-06-04T20:55:00.000	1	1	1		9	1.175	1	53	1
									1980-06-04T21:00:00.000	1	1	1		9	1.14	1	56	1
									1980-06-04T21:05:00.000	1	1	1		9	1.109	1	56	1
									1980-06-04T21:10:00.000	1	1	1		9	1.087	1	56	1
									1980-06-04T21:15:00.000	1	1	1		9	1.07	1	53	1
									1980-06-04T21:20:00.000	1	1	1		9	1.03	1	53	1
									1980-06-04T21:25:00.000	1	1	1		9	1.004	1	53	1
									1980-06-04T21:30:00.000	1	1	1		9	.982	1	51	1
									1980-06-04T21:35:00.000	1	1	1		9	.942	1	51	1
									1980-06-04T21:40:00.000	1	1	1		9	.898	1	53	1
									1980-06-04T21:45:00.000	1	1	1		9	.872	1	53	1
									1980-06-04T21:50:00.000	1	1	1		9	.832	1	51	1
									1980-06-04T21:55:00.000	1	1	1		9	.793	1	48	1
									1980-06-04T22:00:00.000	1	1	1		9	.775	1	42	1
									1980-06-04T22:05:00.000	1	1	1		9	.713	1	45	1
									1980-06-04T22:10:00.000	1	1	1		9	.665	1	48	1
									1980-06-04T22:15:00.000	1	1	1		9	.621	1	48	1
									1980-06-04T22:20:00.000	1	1	1		9	.568	1	48	1
