
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET	TotPressSeaFL [dbar]	QV:SEADATANET
ULIXE0	UX000	*	1979-12-07T15:10:00.000	15.615	38.2328333	300880	120	137	1979-12-07T15:10:00.000	1	96	1	14.8	1	.694	1	245	1	96.1	1
									1979-12-07T15:15:00.000	1	96	1	14.8	1	.609	1	264	1	96.1	1
									1979-12-07T15:20:00.000	1	96	1	15	1	.626	1	259	1	96.1	1
									1979-12-07T15:25:00.000	1	96	1	14.9	1	.438	1	309	3	96.1	1
									1979-12-07T15:30:00.000	1	96	1	14.8	1	.352	1	264	3	96.1	1
									1979-12-07T15:35:00.000	1	96	1	14.7	1	.523	1	276	1	96.1	1
									1979-12-07T15:40:00.000	1	96	1	14.7	1	.54	1	270	1	96.1	1
									1979-12-07T15:45:00.000	1	96	1	14.7	1	.472	1	284	3	96.1	1
									1979-12-07T15:50:00.000	1	96	1	14.7	1	.318	1	6	3	96.1	1
									1979-12-07T15:55:00.000	1	96	1	14.7	1	.198	1	37	3	96.1	1
									1979-12-07T16:00:00.000	1	96	1	14.7	1	.215	1	14	1	96.1	1
									1979-12-07T16:05:00.000	1	96	1	14.6	1	.232	1	23	1	96.1	1
									1979-12-07T16:10:00.000	1	96	1	14.6	1	.215	1	20	1	96.1	1
									1979-12-07T16:15:00.000	1	96	1	14.6	1	.181	1	11	1	96.1	1
									1979-12-07T16:20:00.000	1	96	1	14.6	1	.164	1	20	1	96.1	1
									1979-12-07T16:25:00.000	1	96	1	14.6	1	.147	1	14	1	96.1	1
									1979-12-07T16:30:00.000	1	96	1	14.6	1	.147	1	31	1	96.1	1
									1979-12-07T16:35:00.000	1	96	1	14.6	1	.112	1	31	1	96.1	1
									1979-12-07T16:40:00.000	1	96	1	14.6	1	.112	1	39	1	96.1	1
