
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
ULIXEH	UXH00	*	1980-04-25T15:02:00.000	15.6783333	38.2503333	300928	120	162	1980-04-25T15:02:30.000	1	149	1	14.6	1	.749	1	42	1
									1980-04-25T15:07:30.000	1	149	1	14.6	1	.438	1	48	1
									1980-04-25T15:12:30.000	1	149	1	14.6	1	.481	1	96	3
									1980-04-25T15:17:30.000	1	149	1	14.6	1	.313	3	20	1
									1980-04-25T15:22:30.000	1	149	1	14.6	1	.589	1	20	1
									1980-04-25T15:27:30.000	1	149	1	14.6	1	.499	1	56	1
									1980-04-25T15:32:30.000	1	149	1	14.6	1	.417	1	73	1
									1980-04-25T15:37:30.000	1	149	1	14.6	1	.546	3	73	1
									1980-04-25T15:42:30.000	1	149	1	14.5	1	.24	1	169	1
									1980-04-25T15:47:30.000	1	149	1	14.5	1	.136	1	287	3
									1980-04-25T15:52:30.000	1	149	1	14.6	1	.158	1	17	1
									1980-04-25T15:57:30.000	1	149	1	14.6	1	.343	1	14	1
									1980-04-25T16:02:30.000	1	149	1	14.5	1	.443	1	62	1
									1980-04-25T16:07:30.000	1	149	1	14.5	1	.188	1	281	3
									1980-04-25T16:12:30.000	1	149	1	14.5	1	.279	1	34	1
									1980-04-25T16:17:30.000	1	149	1	14.5	1	.27	1	3	1
									1980-04-25T16:22:30.000	1	149	1	14.6	1	.227	1	6	1
									1980-04-25T16:27:30.000	1	149	1	14.6	1	.162	1	25	1
									1980-04-25T16:32:30.000	1	149	1	14.5	1	.054	1	340	3
									1980-04-25T16:37:30.000	1	149	1	14.5	1	.089	1	326	1
									1980-04-25T16:42:30.000	1	149	1	14.4	1	.08	1	312	1
									1980-04-25T16:47:30.000	1	149	1	14.4	1	.089	1	239	3
									1980-04-25T16:52:30.000	1	149	1	14.4	1	.158	1	270	3
									1980-04-25T16:57:30.000	1	149	1	14.4	1	.166	1	253	1
									1980-04-25T17:02:30.000	1	149	1	14.4	1	.192	1	245	1
									1980-04-25T17:07:30.000	1	149	1	14.4	1	.231	1	253	1
									1980-04-25T17:12:30.000	1	149	1	14.3	1	.313	1	264	1
									1980-04-25T17:17:30.000	1	149	1	14.3	1	.356	1	273	1
									1980-04-25T17:22:30.000	1	149	1	14.4	1	.292	1	264	1
									1980-04-25T17:27:30.000	1	149	1	14.4	1	.305	1	264	1
									1980-04-25T17:32:30.000	1	149	1	14.3	1	.283	1	256	1
									1980-04-25T17:37:30.000	1	149	1	14.3	1	.296	1	262	1
									1980-04-25T17:42:30.000	1	149	1	14.4	1	.348	1	267	1
									1980-04-25T17:47:30.000	1	149	1	14.4	1	.365	1	270	1
									1980-04-25T17:52:30.000	1	149	1	14.4	1	.356	1	270	1
									1980-04-25T17:57:30.000	1	149	1	14.4	1	.378	1	281	1
									1980-04-25T18:02:30.000	1	149	1	14.4	1	.421	1	276	1
									1980-04-25T18:07:30.000	1	149	1	14.4	1	.425	1	278	1
									1980-04-25T18:12:30.000	1	149	1	14.4	1	.43	1	276	1
									1980-04-25T18:17:30.000	1	149	1	14.4	1	.447	1	278	1
									1980-04-25T18:22:30.000	1	149	1	14.4	1	.46	1	281	1
									1980-04-25T18:27:30.000	1	149	1	14.4	1	.503	1	278	1
									1980-04-25T18:32:30.000	1	149	1	14.4	1	.507	1	281	1
									1980-04-25T18:37:30.000	1	149	1	14.4	1	.512	1	267	1
									1980-04-25T18:42:30.000	1	149	1	14.3	1	.451	1	264	1
									1980-04-25T18:47:30.000	1	149	1	14.3	1	.494	1	256	1
									1980-04-25T18:52:30.000	1	149	1	14.3	1	.503	1	264	1
									1980-04-25T18:57:30.000	1	149	1	14.3	1	.494	1	264	1
									1980-04-25T19:02:30.000	1	149	1	14.3	1	.481	1	256	1
									1980-04-25T19:07:30.000	1	149	1	14.3	1	.434	1	245	3
									1980-04-25T19:12:30.000	1	149	1	14.3	1	.408	1	256	1
									1980-04-25T19:17:30.000	1	149	1	14.3	1	.348	1	248	1
									1980-04-25T19:22:30.000	1	149	1	14.3	1	.3	1	248	1
									1980-04-25T19:27:30.000	1	149	1	14.3	1	.227	1	264	1
									1980-04-25T19:32:30.000	1	149	1	14.3	1	.253	1	281	1
									1980-04-25T19:37:30.000	1	149	1	14.3	1	.231	1	290	1
									1980-04-25T19:42:30.000	1	149	1	14.4	1	.184	1	278	1
									1980-04-25T19:47:30.000	1	149	1	14.4	1	.214	1	273	1
									1980-04-25T19:52:30.000	1	149	1	14.4	1	.214	1	293	1
									1980-04-25T19:57:30.000	1	149	1	14.4	1	.192	1	309	3
									1980-04-25T20:02:30.000	1	149	1	14.3	1	.119	1	264	1
									1980-04-25T20:07:30.000	1	149	1	14.3	1	.084	1	262	1
									1980-04-25T20:12:30.000	1	149	1	14.3	1	.059	1	245	1
									1980-04-25T20:17:30.000	1	149	1	14.3	1	.041	1	253	1
									1980-04-25T20:22:30.000	1	149	1	14.3	1	.041	1	315	3
									1980-04-25T20:27:30.000	1	149	1	14.3	1	.046	1	20	3
									1980-04-25T20:32:30.000	1	149	1	14.3	1	.076	1	31	1
									1980-04-25T20:37:30.000	1	149	1	14.3	1	.089	1	42	1
									1980-04-25T20:42:30.000	1	149	1	14.4	1	.097	1	59	3
									1980-04-25T20:47:30.000	1	149	1	14.4	1	.093	1	48	1
									1980-04-25T20:52:30.000	1	149	1	14.3	1	.054	1	51	1
									1980-04-25T20:57:30.000	1	149	1	14.3	1	.041	1	48	1
									1980-04-25T21:02:30.000	1	149	1	14.4	1	.041	1	340	3
									1980-04-25T21:07:30.000	1	149	1	14.4	1	.046	1	287	1
									1980-04-25T21:12:30.000	1	149	1	14.3	1	.059	1	264	1
									1980-04-25T21:17:30.000	1	149	1	14.3	1	.063	1	231	1
									1980-04-25T21:22:30.000	1	149	1	14.4	1	.072	1	239	1
									1980-04-25T21:27:30.000	1	149	1	14.4	1	.076	1	248	1
									1980-04-25T21:32:30.000	1	149	1	14.4	1	.08	1	253	1
									1980-04-25T21:37:30.000	1	149	1	14.4	1	.128	1	253	1
									1980-04-25T21:42:30.000	1	149	1	14.3	1	.136	1	250	1
									1980-04-25T21:47:30.000	1	149	1	14.3	1	.136	1	253	1
									1980-04-25T21:52:30.000	1	149	1	14.3	1	.136	1	259	1
									1980-04-25T21:57:30.000	1	149	1	14.3	1	.119	1	264	1
									1980-04-25T22:02:30.000	1	149	1	14.4	1	.128	1	250	1
									1980-04-25T22:07:30.000	1	149	1	14.4	1	.136	1	245	1
									1980-04-25T22:12:30.000	1	149	1	14.3	1	.119	1	256	3
									1980-04-25T22:17:30.000	1	149	1	14.3	1	.097	1	245	3
									1980-04-25T22:22:30.000	1	149	1	14.3	1	.067	1	259	1
									1980-04-25T22:27:30.000	1	149	1	14.3	1	.05	1	253	1
									1980-04-25T22:32:30.000	1	149	1	14.3	1	.046	1	264	3
									1980-04-25T22:37:30.000	1	149	1	14.3	1	.037	1	250	1
									1980-04-25T22:42:30.000	1	149	1	14.3	1	.037	1	203	1
									1980-04-25T22:47:30.000	1	149	1	14.3	1	.072	1	62	3
									1980-04-25T22:52:30.000	1	149	1	14.3	1	.119	1	96	3
									1980-04-25T22:57:30.000	1	149	1	14.3	1	.205	1	82	1
									1980-04-25T23:02:30.000	1	149	1	14.3	1	.27	1	79	1
									1980-04-25T23:07:30.000	1	149	1	14.3	1	.257	1	70	1
									1980-04-25T23:12:30.000	1	149	1	14.3	1	.218	1	82	1
									1980-04-25T23:17:30.000	1	149	1	14.3	1	.248	1	87	1
									1980-04-25T23:22:30.000	1	149	1	14.3	1	.24	1	90	1
									1980-04-25T23:27:30.000	1	149	1	14.3	1	.197	1	93	1
									1980-04-25T23:32:30.000	1	149	1	14.3	1	.227	1	107	1
									1980-04-25T23:37:30.000	1	149	1	14.3	1	.292	1	107	1
									1980-04-25T23:42:30.000	1	149	1	14.4	1	.313	1	118	3
									1980-04-25T23:47:30.000	1	149	1	14.4	1	.257	1	96	1
									1980-04-25T23:52:30.000	1	149	1	14.3	1	.24	1	96	1
									1980-04-25T23:57:30.000	1	149	1	14.3	1	.188	1	129	1
									1980-04-26T00:02:30.000	1	149	1	14.3	1	.093	1	127	1
									1980-04-26T00:07:30.000	1	149	1	14.3	1	.067	1	76	1
									1980-04-26T00:12:30.000	1	149	1	14.4	1	.166	1	59	1
									1980-04-26T00:17:30.000	1	149	1	14.4	1	.21	1	53	1
									1980-04-26T00:22:30.000	1	149	1	14.4	1	.313	1	56	1
									1980-04-26T00:27:30.000	1	149	1	14.4	1	.223	1	84	1
									1980-04-26T00:32:30.000	1	149	1	14.4	1	.326	3	160	3
									1980-04-26T00:37:30.000	1	149	1	14.4	1	.153	1	149	1
									1980-04-26T00:42:30.000	1	149	1	14.4	1	.119	1	98	3
									1980-04-26T00:47:30.000	1	149	1	14.4	1	.08	1	267	1
									1980-04-26T00:52:30.000	1	149	1	14.4	1	.153	1	301	1
									1980-04-26T00:57:30.000	1	149	1	14.4	1	.145	1	329	3
									1980-04-26T01:02:30.000	1	149	1	14.4	1	.054	1	8	3
									1980-04-26T01:07:30.000	1	149	1	14.4	1	.313	1	42	3
									1980-04-26T01:12:30.000	1	149	1	14.5	1	.512	1	14	1
									1980-04-26T01:17:30.000	1	149	1	14.5	1	.619	1	20	1
									1980-04-26T01:22:30.000	1	149	1	14.6	1	.641	1	56	1
									1980-04-26T01:27:30.000	1	149	1	14.6	1	.516	1	59	1
									1980-04-26T01:32:30.000	1	149	1	14.6	1	.378	1	51	1
									1980-04-26T01:37:30.000	1	149	1	14.5	1	.352	1	110	3
