
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	CNDC [mho/meter]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00003	*	2008-09-01T00:00:00.000	+20.601000	+37.948833	GN36200809ZAK_00003_269_D90	269	313.0	2008-09-01T00:00:00.000	1	0003	1	16.406	1	235.547	1		9	38.525	1	25.459	1		9		9
									2008-09-01T03:00:00.000	1	0003	1	19.336	1	240.117	1		9	38.467	1	24.458	1		9		9
									2008-09-01T06:00:00.000	1	0003	1	16.406	1	237.656	1		9	38.467	1	23.604	1		9		9
									2008-09-01T09:00:00.000	1	0003	1	8.203	1	291.445	3		9	38.418	1	23.433	1		9		9
									2008-09-01T12:00:00.000	1	0003	1	19.336	1	57.656	3		9	38.271	1	23.262	1		9		9
									2008-09-01T15:00:00.000	1	0003	1	30.762	1	85.430	1		9	38.428	1	24.214	1		9		9
									2008-09-01T18:00:00.000	1	0003	1	11.133	1	162.422	3		9	38.389	1	24.434	1		9		9
									2008-09-01T21:00:00.000	1	0003	1	24.023	1	347.695	3		9	38.408	1	24.336	1		9		9
									2008-09-02T00:00:00.000	1	0003	1	24.316	1	25.312	1		9	38.359	1	24.067	1		9		9
									2008-09-02T03:00:00.000	1	0003	1	4.980	1	30.234	1		9	38.291	1	24.263	1		9		9
									2008-09-02T06:00:00.000	1	0003	1	14.648	1	328.008	1		9	38.418	1	24.849	1		9		9
									2008-09-02T09:00:00.000	1	0003	1	23.730	1	359.297	1		9	38.408	1	25.142	1		9		9
									2008-09-02T12:00:00.000	1	0003	1	17.871	1	17.930	1		9	38.389	1	25.264	1		9		9
									2008-09-02T15:00:00.000	1	0003	1	16.113	1		9		9	38.262	1	25.410	1		9		9
									2008-09-02T18:00:00.000	1	0003	1	13.184	1	17.578	1		9	38.359	1	25.386	1		9		9
									2008-09-02T21:00:00.000	1	0003	1	11.426	1	27.773	1		9	38.350	1	25.361	1		9		9
									2008-09-03T00:00:00.000	1	0003	1	17.285	1	289.336	1		9	38.350	1	25.190	1		9		9
									2008-09-03T03:00:00.000	1	0003	1	15.527	1	292.852	1		9	38.350	3	25.190	1		9		9
									2008-09-03T06:00:00.000	1	0003	1	22.559	1	279.844	1		9	38.379	1	25.508	1		9		9
									2008-09-03T09:00:00.000	1	0003	1	17.285	1	262.969	1		9	38.340	1	24.873	1		9		9
									2008-09-03T12:00:00.000	1	0003	1	9.082	1	353.672	3		9	38.262	1	24.458	1		9		9
									2008-09-03T15:00:00.000	1	0003	1	12.598	1	182.812	3		9	38.350	1	25.898	1		9		9
									2008-09-03T18:00:00.000	1	0003	1	13.477	1	205.312	1		9	38.320	1	25.923	1		9		9
									2008-09-03T21:00:00.000	1	0003	1	10.254	1	211.992	1		9	38.320	1	25.703	1		9		9
									2008-09-04T00:00:00.000	1	0003	1	10.547	1	222.539	1		9	38.320	1	25.532	1		9		9
									2008-09-04T03:00:00.000	1	0003	1	13.477	1	225.000	1		9	38.311	3	25.654	1		9		9
									2008-09-04T06:00:00.000	1	0003	1	12.305	1	210.586	1		9	38.320	3	25.630	1		9		9
									2008-09-04T09:00:00.000	1	0003	1	18.457	1	222.188	1		9	38.330	1	25.679	1		9		9
									2008-09-04T12:00:00.000	1	0003	1	17.285	1	231.680	1		9	38.320	1	25.703	1		9		9
									2008-09-04T15:00:00.000	1	0003	1	14.355	1	230.273	1		9	38.281	1	25.972	1		9		9
									2008-09-04T18:00:00.000	1	0003	1	16.699	1	197.578	1		9	38.311	1	25.947	1		9		9
									2008-09-04T21:00:00.000	1	0003	1	16.113	1	201.445	1		9	38.223	1	25.776	1		9		9
									2008-09-05T00:00:00.000	1	0003	1	14.941	1	214.453	1		9	38.262	1	25.532	1		9		9
									2008-09-05T03:00:00.000	1	0003	1	16.992	1	220.781	1		9	38.271	1	25.557	1		9		9
									2008-09-05T06:00:00.000	1	0003	1	23.730	1	198.281	1		9	38.271	1	25.581	1		9		9
									2008-09-05T09:00:00.000	1	0003	1	19.629	1	222.891	1		9	38.271	3	25.508	1		9		9
									2008-09-05T12:00:00.000	1	0003	1	18.750	1	192.305	1		9	38.262	3	25.630	1		9		9
									2008-09-05T15:00:00.000	1	0003	1	16.113	1	191.602	1		9	38.262	3	25.752	1		9		9
									2008-09-05T18:00:00.000	1	0003	1	23.438	1	221.484	1		9	38.311	1	25.776	1		9		9
									2008-09-05T21:00:00.000	1	0003	1	22.559	1	241.523	1		9	38.311	1	25.752	1		9		9
									2008-09-06T00:00:00.000	1	0003	1	20.801	1	235.195	1		9	38.301	1	25.679	1		9		9
									2008-09-06T03:00:00.000	1	0003	1	17.871	1	222.891	1		9	38.281	1	25.532	1		9		9
									2008-09-06T06:00:00.000	1	0003	1	18.164	1	204.609	1		9	38.271	1	25.630	1		9		9
									2008-09-06T09:00:00.000	1	0003	1	24.609	1	184.922	1		9	38.281	1	25.776	1		9		9
									2008-09-06T12:00:00.000	1	0003	1	13.477	1	169.102	1		9	38.271	3	25.630	1		9		9
									2008-09-06T15:00:00.000	1	0003	1	25.781	1	228.164	1		9	38.262	1	25.850	1		9		9
									2008-09-06T18:00:00.000	1	0003	1	30.469	1	240.469	1		9	38.164	1	24.751	1		9		9
									2008-09-06T21:00:00.000	1	0003	1	37.207	1	249.961	1		9	38.291	1	25.679	1		9		9
									2008-09-07T00:00:00.000	1	0003	1	32.520	1	253.477	1		9	38.252	1	25.630	1		9		9
									2008-09-07T03:00:00.000	1	0003	1	25.195	1	208.477	1		9	38.213	1	25.312	1		9		9
									2008-09-07T06:00:00.000	1	0003	1	35.742	1	260.859	1		9	38.262	1	25.508	1		9		9
									2008-09-07T09:00:00.000	1	0003	1	40.137	1	230.625	1		9	38.242	1	25.703	1		9		9
									2008-09-07T12:00:00.000	1	0003	1	17.578	1	254.531	1		9	38.213	1	24.385	1		9		9
									2008-09-07T15:00:00.000	1	0003	1	22.559	1	264.023	1		9	37.822	1	24.897	1		9		9
									2008-09-07T18:00:00.000	1	0003	1	17.578	1	213.398	1		9	38.232	1	25.508	1		9		9
									2008-09-07T21:00:00.000	1	0003	1	36.328	1	235.195	1		9	38.271	1	25.874	1		9		9
									2008-09-08T00:00:00.000	1	0003	1	18.750	1	271.758	3		9	38.330	1	25.508	1		9		9
									2008-09-08T03:00:00.000	1	0003	1	13.477	1	2.812	3		9	38.252	1	25.288	1		9		9
									2008-09-08T06:00:00.000	1	0003	1	13.477	1	71.719	3		9	38.203	1	25.508	1		9		9
									2008-09-08T09:00:00.000	1	0003	1	4.395	1	267.539	3		9	38.213	1	25.654	1		9		9
									2008-09-08T12:00:00.000	1	0003	1	17.871	1	291.094	1		9	38.193	1	25.557	1		9		9
									2008-09-08T15:00:00.000	1	0003	1	14.062	1	342.773	1		9	38.115	1	24.556	1		9		9
									2008-09-08T18:00:00.000	1	0003	1	20.801	1	288.984	1		9	38.184	1	25.166	1		9		9
									2008-09-08T21:00:00.000	1	0003	1	27.539	1	294.609	1		9	38.174	1	24.897	1		9		9
									2008-09-09T00:00:00.000	1	0003	1	22.852	1	272.461	1		9	38.320	1	25.435	1		9		9
									2008-09-09T03:00:00.000	1	0003	1	20.801	1	279.141	1		9	38.291	1	26.021	1		9		9
									2008-09-09T06:00:00.000	1	0003	1	15.527	1	234.492	3		9	38.135	1	24.458	1		9		9
									2008-09-09T09:00:00.000	1	0003	1	13.477	1	316.758	1		9	38.105	1	24.580	1		9		9
									2008-09-09T12:00:00.000	1	0003	1	6.152	1	287.227	1		9	38.105	1	25.728	1		9		9
									2008-09-09T15:00:00.000	1	0003	1	19.043	1	239.766	1		9	38.203	1	26.313	1		9		9
