
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	PRES [decibar=10000 pascals]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	TUR4 [N.T.U Nephelo Turb. Unit]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00050	*	2011-10-01T00:00:00.000	+21.596000	+36.825500	GN36201110PYL_00050_269_D90	269	1681.0	2011-10-01T00:00:00.000	1	0050	1		9		9		9	38.380	1	18.999	1		9		9		9
									2011-10-01T03:00:00.000	1	0050	1		9		9		9	38.364	1	19.048	1		9		9		9
									2011-10-01T06:00:00.000	1	0050	1		9		9		9	38.474	1	19.629	1		9		9		9
									2011-10-01T09:00:00.000	1	0050	1		9		9		9	38.500	1	19.590	1		9		9		9
									2011-10-01T12:00:00.000	1	0050	1		9		9		9	38.537	1	19.229	1		9		9		9
									2011-10-01T15:00:00.000	1	0050	1		9		9		9	38.458	1	19.204	1		9		9		9
									2011-10-01T18:00:00.000	1	0050	1		9		9		9	38.396	1	19.077	1		9		9		9
									2011-10-01T21:00:00.000	1	0050	1		9		9		9	38.438	1	19.502	1		9		9		9
									2011-10-02T00:00:00.000	1	0050	1		9		9		9	38.402	1	19.336	1		9		9		9
									2011-10-02T03:00:00.000	1	0050	1		9		9		9	38.367	1	18.965	1		9		9		9
									2011-10-02T06:00:00.000	1	0050	1		9		9		9	38.370	1	19.092	1		9		9		9
									2011-10-02T09:00:00.000	1	0050	1		9		9		9	38.400	1	19.487	1		9		9		9
									2011-10-02T12:00:00.000	1	0050	1		9		9		9	38.315	1	19.722	1		9		9		9
									2011-10-02T15:00:00.000	1	0050	1		9		9		9	38.340	1	19.287	1		9		9		9
									2011-10-02T18:00:00.000	1	0050	1		9		9		9	38.477	1	19.678	1		9		9		9
									2011-10-02T21:00:00.000	1	0050	1		9		9		9	38.408	1	19.507	1		9		9		9
									2011-10-03T00:00:00.000	1	0050	1		9		9		9	38.336	1	19.639	1		9		9		9
									2011-10-03T03:00:00.000	1	0050	1		9		9		9	38.438	1	19.712	1		9		9		9
									2011-10-03T06:00:00.000	1	0050	1		9		9		9	38.443	1	20.273	1		9		9		9
									2011-10-03T09:00:00.000	1	0050	1		9		9		9	38.416	1	19.932	1		9		9		9
									2011-10-03T12:00:00.000	1	0050	1		9		9		9	38.572	1	20.400	1		9		9		9
									2011-10-03T15:00:00.000	1	0050	1		9		9		9	38.397	1	20.171	1		9		9		9
									2011-10-03T18:00:00.000	1	0050	1		9		9		9	38.386	1	20.229	1		9		9		9
									2011-10-03T21:00:00.000	1	0050	1		9		9		9	38.377	1	20.088	1		9		9		9
									2011-10-04T00:00:00.000	1	0050	1		9		9		9	38.408	1	20.464	1		9		9		9
									2011-10-04T03:00:00.000	1	0050	1		9		9		9	38.482	1	19.595	1		9		9		9
									2011-10-04T06:00:00.000	1	0050	1		9		9		9	38.430	1	19.316	1		9		9		9
									2011-10-04T09:00:00.000	1	0050	1		9		9		9	38.456	1	19.658	1		9		9		9
									2011-10-04T12:00:00.000	1	0050	1		9		9		9	38.453	1	19.893	1		9		9		9
									2011-10-04T15:00:00.000	1	0050	1		9		9		9	38.510	1	20.239	1		9		9		9
									2011-10-04T18:00:00.000	1	0050	1		9		9		9	38.452	1	19.941	1		9		9		9
									2011-10-04T21:00:00.000	1	0050	1		9		9		9	38.440	1	19.766	1		9		9		9
									2011-10-05T00:00:00.000	1	0050	1		9		9		9	38.469	1	19.956	1		9		9		9
									2011-10-05T03:00:00.000	1	0050	1		9		9		9	38.481	1	19.731	1		9		9		9
									2011-10-05T06:00:00.000	1	0050	1		9		9		9	38.477	1	19.800	1		9		9		9
									2011-10-05T09:00:00.000	1	0050	1		9		9		9	38.463	1	19.927	1		9		9		9
									2011-10-05T12:00:00.000	1	0050	1		9		9		9	38.465	1	19.668	1		9		9		9
									2011-10-05T15:00:00.000	1	0050	1		9		9		9	38.424	1	19.365	1		9		9		9
									2011-10-05T18:00:00.000	1	0050	1		9		9		9	38.392	1	19.307	1		9		9		9
									2011-10-05T21:00:00.000	1	0050	1		9		9		9	38.370	1	19.194	1		9		9		9
									2011-10-06T00:00:00.000	1	0050	1		9		9		9	38.386	1	19.209	1		9		9		9
									2011-10-06T03:00:00.000	1	0050	1		9		9		9	38.374	1	18.857	1		9		9		9
									2011-10-06T06:00:00.000	1	0050	1		9		9		9	38.371	1	19.038	1		9		9		9
									2011-10-06T09:00:00.000	1	0050	1		9		9		9	38.351	1	19.053	1		9		9		9
									2011-10-06T12:00:00.000	1	0050	1		9		9		9	38.412	1	19.077	1		9		9		9
									2011-10-06T15:00:00.000	1	0050	1		9		9		9	38.474	1	18.853	1		9		9		9
									2011-10-06T18:00:00.000	1	0050	1		9		9		9	38.468	1	18.882	1		9		9		9
									2011-10-06T21:00:00.000	1	0050	1		9		9		9	38.433	1	18.799	1		9		9		9
									2011-10-07T00:00:00.000	1	0050	1		9		9		9	38.416	1	18.574	1		9		9		9
									2011-10-07T03:00:00.000	1	0050	1		9		9		9	38.450	1	18.335	1		9		9		9
									2011-10-07T06:00:00.000	1	0050	1		9		9		9	38.389	1	18.516	1		9		9		9
									2011-10-07T09:00:00.000	1	0050	1		9		9		9	38.411	1	18.633	1		9		9		9
									2011-10-07T12:00:00.000	1	0050	1		9		9		9	38.387	1	19.282	1		9		9		9
									2011-10-07T15:00:00.000	1	0050	1		9		9		9	38.447	1	19.233	1		9		9		9
									2011-10-07T18:00:00.000	1	0050	1		9		9		9	38.459	1	18.911	1		9		9		9
									2011-10-07T21:00:00.000	1	0050	1		9		9		9	38.409	1	18.911	1		9		9		9
									2011-10-08T00:00:00.000	1	0050	1		9		9		9	38.431	1	18.833	1		9		9		9
									2011-10-08T03:00:00.000	1	0050	1		9		9		9	38.390	1	18.506	1		9		9		9
									2011-10-08T06:00:00.000	1	0050	1		9		9		9	38.359	1	18.628	1		9		9		9
									2011-10-08T09:00:00.000	1	0050	1		9		9		9	38.182	1	18.711	1		9		9		9
									2011-10-08T12:00:00.000	1	0050	1		9		9		9	38.257	1	18.804	1		9		9		9
									2011-10-08T15:00:00.000	1	0050	1		9		9		9	38.239	1	19.204	1		9		9		9
									2011-10-08T18:00:00.000	1	0050	1		9		9		9	38.148	1	18.394	1		9		9		9
									2011-10-08T21:00:00.000	1	0050	1		9		9		9	38.245	1	18.574	1		9		9		9
									2011-10-09T00:00:00.000	1	0050	1		9		9		9	38.091	1	18.672	1		9		9		9
									2011-10-09T03:00:00.000	1	0050	1		9		9		9	38.390	1	19.922	1		9		9		9
									2011-10-09T06:00:00.000	1	0050	1		9		9		9	38.416	1	20.332	1		9		9		9
									2011-10-09T09:00:00.000	1	0050	1		9		9		9	38.400	1	19.648	1		9		9		9
									2011-10-09T12:00:00.000	1	0050	1		9		9		9	38.383	1	19.102	1		9		9		9
									2011-10-09T15:00:00.000	1	0050	1		9		9		9	38.438	1	18.599	1		9		9		9
									2011-10-09T18:00:00.000	1	0050	1		9		9		9	38.415	1	18.623	1		9		9		9
									2011-10-09T21:00:00.000	1	0050	1		9		9		9	38.422	1	18.940	1		9		9		9
									2011-10-10T00:00:00.000	1	0050	1		9		9		9	38.346	1	18.989	1		9		9		9
									2011-10-10T03:00:00.000	1	0050	1		9		9		9	38.355	1	19.126	1		9		9		9
									2011-10-10T06:00:00.000	1	0050	1		9		9		9	38.370	1	18.540	1		9		9		9
									2011-10-10T09:00:00.000	1	0050	1		9		9		9	38.257	1	17.690	1		9		9		9
									2011-10-10T12:00:00.000	1	0050	1		9		9		9	38.214	1	17.905	1		9		9		9
									2011-10-10T15:00:00.000	1	0050	1		9		9		9	38.324	1	17.852	1		9		9		9
									2011-10-10T18:00:00.000	1	0050	1		9		9		9	38.405	1	18.071	1		9		9		9
									2011-10-10T21:00:00.000	1	0050	1		9		9		9	38.336	1	18.066	1		9		9		9
									2011-10-11T00:00:00.000	1	0050	1		9		9		9	38.345	1	17.832	1		9		9		9
									2011-10-11T03:00:00.000	1	0050	1		9		9		9	38.348	1	17.729	1		9		9		9
									2011-10-11T06:00:00.000	1	0050	1		9		9		9	38.368	1	17.671	1		9		9		9
									2011-10-11T09:00:00.000	1	0050	1		9		9		9	38.348	1	17.812	1		9		9		9
									2011-10-11T12:00:00.000	1	0050	1		9		9		9	38.230	1	17.441	1		9		9		9
									2011-10-11T15:00:00.000	1	0050	1		9		9		9	38.389	1	17.866	1		9		9		9
									2011-10-11T18:00:00.000	1	0050	1		9		9		9	38.321	1	17.959	1		9		9		9
									2011-10-11T21:00:00.000	1	0050	1		9		9		9	38.327	1	17.773	1		9		9		9
