
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	PRES [decibar=10000 pascals]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	TUR4 [N.T.U Nephelo Turb. Unit]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00020	*	2008-10-01T00:00:00.000	+21.596000	+36.825500	GN36200810PYL_00020_269_D90	269	1681.0	2008-10-01T00:00:00.000	1	0020	1		9		9		9	38.604	1	22.700	1		9		9		9
									2008-10-01T03:00:00.000	1	0020	1		9		9		9	38.594	1	22.529	1		9		9		9
									2008-10-01T06:00:00.000	1	0020	1		9		9		9	38.564	1	22.261	1		9		9		9
									2008-10-01T09:00:00.000	1	0020	1		9		9		9	38.584	1	22.603	1		9		9		9
									2008-10-01T12:00:00.000	1	0020	1		9		9		9	38.594	1	22.700	1		9		9		9
									2008-10-01T15:00:00.000	1	0020	1		9		9		9	38.574	1	22.603	1		9		9		9
									2008-10-01T18:00:00.000	1	0020	1		9		9		9	38.604	1	22.993	1		9		9		9
									2008-10-01T21:00:00.000	1	0020	1		9		9		9	38.613	1	22.993	1		9		9		9
									2008-10-02T00:00:00.000	1	0020	1		9		9		9	38.594	1	22.749	1		9		9		9
									2008-10-02T03:00:00.000	1	0020	1		9		9		9	38.633	1	22.725	1		9		9		9
									2008-10-02T06:00:00.000	1	0020	1		9		9		9	38.584	1	22.578	1		9		9		9
									2008-10-02T09:00:00.000	1	0020	1		9		9		9	38.574	1	22.505	1		9		9		9
									2008-10-02T12:00:00.000	1	0020	1		9		9		9	38.623	1	22.358	1		9		9		9
									2008-10-02T15:00:00.000	1	0020	1		9		9		9	38.604	1	22.578	1		9		9		9
									2008-10-02T18:00:00.000	1	0020	1		9		9		9	38.545	1	22.334	1		9		9		9
									2008-10-02T21:00:00.000	1	0020	1		9		9		9	38.574	1	22.236	1		9		9		9
									2008-10-03T00:00:00.000	1	0020	1		9		9		9	38.574	1	22.383	1		9		9		9
									2008-10-03T03:00:00.000	1	0020	1		9		9		9	38.555	1	22.310	1		9		9		9
									2008-10-03T06:00:00.000	1	0020	1		9		9		9	38.564	1	22.261	1		9		9		9
									2008-10-03T09:00:00.000	1	0020	1		9		9		9	38.555	1	22.310	1		9		9		9
									2008-10-03T12:00:00.000	1	0020	1		9		9		9	38.545	1	22.310	1		9		9		9
									2008-10-03T15:00:00.000	1	0020	1		9		9		9	38.584	1	22.554	1		9		9		9
									2008-10-03T18:00:00.000	1	0020	1		9		9		9	38.574	1	23.066	1		9		9		9
									2008-10-03T21:00:00.000	1	0020	1		9		9		9	38.574	1	23.164	1		9		9		9
									2008-10-04T00:00:00.000	1	0020	1		9		9		9	38.594	1	22.969	1		9		9		9
									2008-10-04T03:00:00.000	1	0020	1		9		9		9	38.584	1	22.871	1		9		9		9
									2008-10-04T06:00:00.000	1	0020	1		9		9		9	38.584	1	22.822	1		9		9		9
									2008-10-04T09:00:00.000	1	0020	1		9		9		9	38.545	1	22.896	1		9		9		9
									2008-10-04T12:00:00.000	1	0020	1		9		9		9	38.584	1	23.042	1		9		9		9
									2008-10-04T15:00:00.000	1	0020	1		9		9		9	38.574	1	23.262	1		9		9		9
									2008-10-04T18:00:00.000	1	0020	1		9		9		9	38.574	1	23.115	1		9		9		9
									2008-10-04T21:00:00.000	1	0020	1		9		9		9	38.574	1	22.871	1		9		9		9
									2008-10-05T00:00:00.000	1	0020	1		9		9		9	38.467	1	22.456	1		9		9		9
									2008-10-05T03:00:00.000	1	0020	1		9		9		9	38.604	1	22.822	1		9		9		9
									2008-10-05T06:00:00.000	1	0020	1		9		9		9	38.594	1	22.773	1		9		9		9
									2008-10-05T09:00:00.000	1	0020	1		9		9		9	38.564	1	22.969	1		9		9		9
									2008-10-05T12:00:00.000	1	0020	1		9		9		9	38.633	1	22.847	1		9		9		9
									2008-10-05T15:00:00.000	1	0020	1		9		9		9	38.643	1	22.676	1		9		9		9
									2008-10-05T18:00:00.000	1	0020	1		9		9		9	38.574	1	22.554	1		9		9		9
									2008-10-05T21:00:00.000	1	0020	1		9		9		9	38.535	1	22.358	1		9		9		9
									2008-10-06T00:00:00.000	1	0020	1		9		9		9	38.564	1	22.334	1		9		9		9
