
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	PRES [decibar=10000 pascals]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	TUR4 [N.T.U Nephelo Turb. Unit]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00020	*	2010-04-01T00:00:00.000	+21.596000	+36.825500	GN36201004PYL_00020_269_D90	269	1681.0	2010-04-01T00:00:00.000	1	0020	1		9		9		9	38.926	1	15.889	1		9		9		9
									2010-04-01T03:00:00.000	1	0020	1		9		9		9	38.916	1	15.846	1		9		9		9
									2010-04-01T06:00:00.000	1	0020	1		9		9		9	38.916	1	15.876	1		9		9		9
									2010-04-01T09:00:00.000	1	0020	1		9		9		9	38.916	1	15.883	1		9		9		9
									2010-04-01T12:00:00.000	1	0020	1		9		9		9	38.926	1	15.901	1		9		9		9
									2010-04-01T15:00:00.000	1	0020	1		9		9		9	38.926	1	15.992	1		9		9		9
									2010-04-01T18:00:00.000	1	0020	1		9		9		9	38.916	1	16.005	1		9		9		9
									2010-04-01T21:00:00.000	1	0020	1		9		9		9	38.916	1	16.017	1		9		9		9
									2010-04-02T00:00:00.000	1	0020	1		9		9		9	38.926	1	15.968	1		9		9		9
									2010-04-02T03:00:00.000	1	0020	1		9		9		9	38.916	1	16.017	1		9		9		9
									2010-04-02T06:00:00.000	1	0020	1		9		9		9	38.916	1	16.047	1		9		9		9
									2010-04-02T09:00:00.000	1	0020	1		9		9		9	38.896	1	15.992	1		9		9		9
									2010-04-02T12:00:00.000	1	0020	1		9		9		9	38.867	1	16.005	1		9		9		9
									2010-04-02T15:00:00.000	1	0020	1		9		9		9	38.867	1	15.962	1		9		9		9
									2010-04-02T18:00:00.000	1	0020	1		9		9		9	38.906	1	16.182	1		9		9		9
									2010-04-02T21:00:00.000	1	0020	1		9		9		9	38.906	1	16.127	1		9		9		9
									2010-04-03T00:00:00.000	1	0020	1		9		9		9	38.906	1	16.066	1		9		9		9
									2010-04-03T03:00:00.000	1	0020	1		9		9		9	38.896	1	16.060	1		9		9		9
									2010-04-03T06:00:00.000	1	0020	1		9		9		9	38.867	1	16.017	1		9		9		9
									2010-04-03T09:00:00.000	1	0020	1		9		9		9	38.867	1	15.980	1		9		9		9
									2010-04-03T12:00:00.000	1	0020	1		9		9		9	38.867	1	15.925	1		9		9		9
									2010-04-03T15:00:00.000	1	0020	1		9		9		9	38.877	1	15.938	1		9		9		9
									2010-04-03T18:00:00.000	1	0020	1		9		9		9	38.877	1	16.047	1		9		9		9
									2010-04-03T21:00:00.000	1	0020	1		9		9		9	38.887	1	16.078	1		9		9		9
									2010-04-04T00:00:00.000	1	0020	1		9		9		9	38.887	1	15.992	1		9		9		9
									2010-04-04T03:00:00.000	1	0020	1		9		9		9	38.887	1	15.828	1		9		9		9
									2010-04-04T06:00:00.000	1	0020	1		9		9		9	38.877	1	15.950	1		9		9		9
									2010-04-04T09:00:00.000	1	0020	1		9		9		9	38.906	1	15.992	1		9		9		9
									2010-04-04T12:00:00.000	1	0020	1		9		9		9	38.916	1	16.005	1		9		9		9
									2010-04-04T15:00:00.000	1	0020	1		9		9		9	38.916	1	16.029	1		9		9		9
									2010-04-04T18:00:00.000	1	0020	1		9		9		9	38.926	1	16.011	1		9		9		9
									2010-04-04T21:00:00.000	1	0020	1		9		9		9	38.936	1	16.005	1		9		9		9
									2010-04-05T00:00:00.000	1	0020	1		9		9		9	38.936	1	15.999	1		9		9		9
									2010-04-05T03:00:00.000	1	0020	1		9		9		9	38.936	1	15.980	1		9		9		9
									2010-04-05T06:00:00.000	1	0020	1		9		9		9	38.936	3	15.962	1		9		9		9
									2010-04-05T09:00:00.000	1	0020	1		9		9		9	38.936	3	15.974	1		9		9		9
									2010-04-05T12:00:00.000	1	0020	1		9		9		9	38.936	3	15.980	1		9		9		9
									2010-04-05T15:00:00.000	1	0020	1		9		9		9	38.926	1	15.980	1		9		9		9
									2010-04-05T18:00:00.000	1	0020	1		9		9		9	38.936	1	15.992	1		9		9		9
									2010-04-05T21:00:00.000	1	0020	1		9		9		9	38.936	1	15.992	1		9		9		9
									2010-04-06T00:00:00.000	1	0020	1		9		9		9	38.945	1	15.974	1		9		9		9
									2010-04-06T03:00:00.000	1	0020	1		9		9		9	38.945	1	15.956	1		9		9		9
									2010-04-06T06:00:00.000	1	0020	1		9		9		9	38.936	1	16.017	1		9		9		9
									2010-04-06T09:00:00.000	1	0020	1		9		9		9	38.916	1	16.047	1		9		9		9
									2010-04-06T12:00:00.000	1	0020	1		9		9		9	38.926	1	16.035	1		9		9		9
									2010-04-06T15:00:00.000	1	0020	1		9		9		9	38.936	1	16.011	1		9		9		9
									2010-04-06T18:00:00.000	1	0020	1		9		9		9	38.896	1	15.999	1		9		9		9
									2010-04-06T21:00:00.000	1	0020	1		9		9		9	38.906	1	15.895	1		9		9		9
									2010-04-07T00:00:00.000	1	0020	1		9		9		9	38.916	1	15.748	1		9		9		9
									2010-04-07T03:00:00.000	1	0020	1		9		9		9	38.916	1	15.712	1		9		9		9
									2010-04-07T06:00:00.000	1	0020	1		9		9		9	38.955	1	15.767	1		9		9		9
									2010-04-07T09:00:00.000	1	0020	1		9		9		9	38.936	1	15.748	1		9		9		9
									2010-04-07T12:00:00.000	1	0020	1		9		9		9	38.926	1	15.742	1		9		9		9
									2010-04-07T15:00:00.000	1	0020	1		9		9		9	38.926	1	15.730	1		9		9		9
									2010-04-07T18:00:00.000	1	0020	1		9		9		9	38.916	1	15.730	1		9		9		9
									2010-04-07T21:00:00.000	1	0020	1		9		9		9	38.906	1	15.699	1		9		9		9
									2010-04-08T00:00:00.000	1	0020	1		9		9		9	38.896	1	15.718	1		9		9		9
									2010-04-08T03:00:00.000	1	0020	1		9		9		9	38.906	1	15.706	1		9		9		9
									2010-04-08T06:00:00.000	1	0020	1		9		9		9	38.906	1	15.687	1		9		9		9
									2010-04-08T09:00:00.000	1	0020	1		9		9		9	38.906	1	15.675	1		9		9		9
									2010-04-08T12:00:00.000	1	0020	1		9		9		9	38.906	3	15.681	1		9		9		9
									2010-04-08T15:00:00.000	1	0020	1		9		9		9	38.906	3	15.706	1		9		9		9
									2010-04-08T18:00:00.000	1	0020	1		9		9		9	38.896	1	15.712	1		9		9		9
									2010-04-08T21:00:00.000	1	0020	1		9		9		9	38.896	1	15.693	1		9		9		9
									2010-04-09T00:00:00.000	1	0020	1		9		9		9	38.887	1	15.706	1		9		9		9
									2010-04-09T03:00:00.000	1	0020	1		9		9		9	38.887	1	15.699	1		9		9		9
									2010-04-09T06:00:00.000	1	0020	1		9		9		9	38.887	1	15.706	1		9		9		9
									2010-04-09T09:00:00.000	1	0020	1		9		9		9	38.896	1	15.718	1		9		9		9
									2010-04-09T12:00:00.000	1	0020	1		9		9		9	38.916	1	15.876	1		9		9		9
									2010-04-09T15:00:00.000	1	0020	1		9		9		9	38.955	1	16.035	1		9		9		9
									2010-04-09T18:00:00.000	1	0020	1		9		9		9	38.867	1	15.699	1		9		9		9
									2010-04-09T21:00:00.000	1	0020	1		9		9		9	38.867	1	15.815	1		9		9		9
									2010-04-10T00:00:00.000	1	0020	1		9		9		9	38.867	1	15.773	1		9		9		9
									2010-04-10T03:00:00.000	1	0020	1		9		9		9	38.857	1	15.791	1		9		9		9
									2010-04-10T06:00:00.000	1	0020	1		9		9		9	38.867	1	15.870	1		9		9		9
									2010-04-10T09:00:00.000	1	0020	1		9		9		9	38.867	1	15.938	1		9		9		9
									2010-04-10T12:00:00.000	1	0020	1		9		9		9	38.867	1	15.846	1		9		9		9
									2010-04-10T15:00:00.000	1	0020	1		9		9		9	38.867	3	15.895	1		9		9		9
									2010-04-10T18:00:00.000	1	0020	1		9		9		9	38.867	3	15.962	1		9		9		9
									2010-04-10T21:00:00.000	1	0020	1		9		9		9	38.867	3	15.828	1		9		9		9
									2010-04-11T00:00:00.000	1	0020	1		9		9		9	38.877	1	16.029	1		9		9		9
									2010-04-11T03:00:00.000	1	0020	1		9		9		9	38.877	1	16.114	1		9		9		9
									2010-04-11T06:00:00.000	1	0020	1		9		9		9	38.887	1	16.194	1		9		9		9
									2010-04-11T09:00:00.000	1	0020	1		9		9		9	38.857	1	15.724	1		9		9		9
									2010-04-11T12:00:00.000	1	0020	1		9		9		9	38.857	1	15.852	1		9		9		9
									2010-04-11T15:00:00.000	1	0020	1		9		9		9	38.867	1	16.066	1		9		9		9
									2010-04-11T18:00:00.000	1	0020	1		9		9		9	38.867	1	16.005	1		9		9		9
									2010-04-11T21:00:00.000	1	0020	1		9		9		9	38.877	1	16.029	1		9		9		9
									2010-04-12T00:00:00.000	1	0020	1		9		9		9	38.857	1	15.986	1		9		9		9
									2010-04-12T03:00:00.000	1	0020	1		9		9		9	38.877	1	15.950	1		9		9		9
									2010-04-12T06:00:00.000	1	0020	1		9		9		9	38.877	1	15.870	1		9		9		9
									2010-04-12T09:00:00.000	1	0020	1		9		9		9	38.867	1	16.005	1		9		9		9
									2010-04-12T12:00:00.000	1	0020	1		9		9		9	38.877	1	15.889	1		9		9		9
									2010-04-12T15:00:00.000	1	0020	1		9		9		9	38.877	1	15.895	1		9		9		9
									2010-04-12T18:00:00.000	1	0020	1		9		9		9	38.877	1	15.809	1		9		9		9
									2010-04-12T21:00:00.000	1	0020	1		9		9		9	38.906	1	15.852	1		9		9		9
									2010-04-13T00:00:00.000	1	0020	1		9		9		9	38.877	1	15.822	1		9		9		9
									2010-04-13T03:00:00.000	1	0020	1		9		9		9	38.867	1	15.773	1		9		9		9
									2010-04-13T06:00:00.000	1	0020	1		9		9		9	38.877	1	15.803	1		9		9		9
									2010-04-13T09:00:00.000	1	0020	1		9		9		9	38.887	1	15.895	1		9		9		9
									2010-04-13T12:00:00.000	1	0020	1		9		9		9	38.906	1	15.699	1		9		9		9
									2010-04-13T15:00:00.000	1	0020	1		9		9		9	38.906	1	15.761	1		9		9		9
									2010-04-13T18:00:00.000	1	0020	1		9		9		9	38.896	1	15.809	1		9		9		9
									2010-04-13T21:00:00.000	1	0020	1		9		9		9	38.896	1	15.803	1		9		9		9
									2010-04-14T00:00:00.000	1	0020	1		9		9		9	38.877	1	15.822	1		9		9		9
									2010-04-14T03:00:00.000	1	0020	1		9		9		9	38.877	1	15.785	1		9		9		9
									2010-04-14T06:00:00.000	1	0020	1		9		9		9	38.877	1	15.773	1		9		9		9
									2010-04-14T09:00:00.000	1	0020	1		9		9		9	38.877	3	15.797	1		9		9		9
									2010-04-14T12:00:00.000	1	0020	1		9		9		9	38.877	3	15.791	1		9		9		9
									2010-04-14T15:00:00.000	1	0020	1		9		9		9	38.877	3	15.754	1		9		9		9
									2010-04-14T18:00:00.000	1	0020	1		9		9		9	38.887	1	15.767	1		9		9		9
									2010-04-14T21:00:00.000	1	0020	1		9		9		9	38.877	1	15.822	1		9		9		9
									2010-04-15T00:00:00.000	1	0020	1		9		9		9	38.887	1	15.809	1		9		9		9
									2010-04-15T03:00:00.000	1	0020	1		9		9		9	38.896	1	16.139	1		9		9		9
									2010-04-15T06:00:00.000	1	0020	1		9		9		9	38.867	1	15.944	1		9		9		9
									2010-04-15T09:00:00.000	1	0020	1		9		9		9	38.867	1	16.053	1		9		9		9
									2010-04-15T12:00:00.000	1	0020	1		9		9		9	38.867	1	15.925	1		9		9		9
									2010-04-15T15:00:00.000	1	0020	1		9		9		9	38.867	3	15.999	1		9		9		9
									2010-04-15T18:00:00.000	1	0020	1		9		9		9	38.887	1	16.127	1		9		9		9
									2010-04-15T21:00:00.000	1	0020	1		9		9		9	38.877	1	16.230	1		9		9		9
									2010-04-16T00:00:00.000	1	0020	1		9		9		9	38.896	1	16.285	1		9		9		9
									2010-04-16T03:00:00.000	1	0020	1		9		9		9	38.896	1	16.365	1		9		9		9
									2010-04-16T06:00:00.000	1	0020	1		9		9		9	38.887	1	16.444	1		9		9		9
									2010-04-16T09:00:00.000	1	0020	1		9		9		9	38.887	1	16.206	1		9		9		9
									2010-04-16T12:00:00.000	1	0020	1		9		9		9	38.877	1	16.487	1		9		9		9
									2010-04-16T15:00:00.000	1	0020	1		9		9		9	38.896	1	16.212	1		9		9		9
									2010-04-16T18:00:00.000	1	0020	1		9		9		9	38.877	1	16.414	1		9		9		9
									2010-04-16T21:00:00.000	1	0020	1		9		9		9	38.916	1	16.432	1		9		9		9
									2010-04-17T00:00:00.000	1	0020	1		9		9		9	38.867	1	15.938	1		9		9		9
									2010-04-17T03:00:00.000	1	0020	1		9		9		9	38.877	1	15.858	1		9		9		9
									2010-04-17T06:00:00.000	1	0020	1		9		9		9	38.877	1	15.840	1		9		9		9
									2010-04-17T09:00:00.000	1	0020	1		9		9		9	38.877	1	15.791	1		9		9		9
									2010-04-17T12:00:00.000	1	0020	1		9		9		9	38.906	1	16.572	1		9		9		9
									2010-04-17T15:00:00.000	1	0020	1		9		9		9	38.867	1	16.365	1		9		9		9
									2010-04-17T18:00:00.000	1	0020	1		9		9		9	38.877	1	16.011	1		9		9		9
									2010-04-17T21:00:00.000	1	0020	1		9		9		9	38.867	1	15.962	1		9		9		9
									2010-04-18T00:00:00.000	1	0020	1		9		9		9	38.896	1	16.584	1		9		9		9
									2010-04-18T03:00:00.000	1	0020	1		9		9		9	38.896	1	16.572	1		9		9		9
									2010-04-18T06:00:00.000	1	0020	1		9		9		9	38.887	1	16.566	1		9		9		9
									2010-04-18T09:00:00.000	1	0020	1		9		9		9	38.887	1	16.560	1		9		9		9
									2010-04-18T12:00:00.000	1	0020	1		9		9		9	38.887	1	16.353	1		9		9		9
									2010-04-18T15:00:00.000	1	0020	1		9		9		9	38.906	1	16.414	1		9		9		9
									2010-04-18T18:00:00.000	1	0020	1		9		9		9	38.867	1	16.035	1		9		9		9
									2010-04-18T21:00:00.000	1	0020	1		9		9		9	38.877	1	16.310	1		9		9		9
									2010-04-19T00:00:00.000	1	0020	1		9		9		9	38.887	1	16.578	1		9		9		9
									2010-04-19T03:00:00.000	1	0020	1		9		9		9	38.887	1	16.108	1		9		9		9
									2010-04-19T06:00:00.000	1	0020	1		9		9		9	38.887	1	16.188	1		9		9		9
									2010-04-19T09:00:00.000	1	0020	1		9		9		9	38.887	3	16.694	1		9		9		9
									2010-04-19T12:00:00.000	1	0020	1		9		9		9	38.975	1	16.401	1		9		9		9
									2010-04-19T15:00:00.000	1	0020	1		9		9		9	39.004	1	16.560	1		9		9		9
									2010-04-19T18:00:00.000	1	0020	1		9		9		9	38.955	1	16.401	1		9		9		9
									2010-04-19T21:00:00.000	1	0020	1		9		9		9	38.965	1	16.426	1		9		9		9
									2010-04-20T00:00:00.000	1	0020	1		9		9		9	38.994	1	16.682	1		9		9		9
									2010-04-20T03:00:00.000	1	0020	1		9		9		9	38.994	1	16.755	1		9		9		9
									2010-04-20T06:00:00.000	1	0020	1		9		9		9	39.004	1	16.829	1		9		9		9
									2010-04-20T09:00:00.000	1	0020	1		9		9		9	38.994	1	16.804	1		9		9		9
									2010-04-20T12:00:00.000	1	0020	1		9		9		9	39.004	1	16.804	1		9		9		9
									2010-04-20T15:00:00.000	1	0020	1		9		9		9	39.004	1	16.816	1		9		9		9
									2010-04-20T18:00:00.000	1	0020	1		9		9		9	39.023	1	16.804	1		9		9		9
									2010-04-20T21:00:00.000	1	0020	1		9		9		9	39.023	1	16.847	1		9		9		9
									2010-04-21T00:00:00.000	1	0020	1		9		9		9	39.014	1	16.920	1		9		9		9
									2010-04-21T03:00:00.000	1	0020	1		9		9		9	38.994	1	16.926	1		9		9		9
									2010-04-21T06:00:00.000	1	0020	1		9		9		9	38.994	1	16.902	1		9		9		9
									2010-04-21T09:00:00.000	1	0020	1		9		9		9	38.975	1	16.865	1		9		9		9
									2010-04-21T12:00:00.000	1	0020	1		9		9		9	38.965	1	16.798	1		9		9		9
									2010-04-21T15:00:00.000	1	0020	1		9		9		9	38.975	1	16.804	1		9		9		9
									2010-04-21T18:00:00.000	1	0020	1		9		9		9	38.955	1	16.786	1		9		9		9
									2010-04-21T21:00:00.000	1	0020	1		9		9		9	38.975	1	16.859	1		9		9		9
									2010-04-22T00:00:00.000	1	0020	1		9		9		9	38.984	1	16.853	1		9		9		9
									2010-04-22T03:00:00.000	1	0020	1		9		9		9	39.004	1	16.780	1		9		9		9
									2010-04-22T06:00:00.000	1	0020	1		9		9		9	39.023	1	16.536	1		9		9		9
									2010-04-22T09:00:00.000	1	0020	1		9		9		9	39.023	1	16.487	1		9		9		9
									2010-04-22T12:00:00.000	1	0020	1		9		9		9	38.994	1	16.639	1		9		9		9
									2010-04-22T15:00:00.000	1	0020	1		9		9		9	38.994	1	16.719	1		9		9		9
									2010-04-22T18:00:00.000	1	0020	1		9		9		9	39.014	1	16.603	1		9		9		9
									2010-04-22T21:00:00.000	1	0020	1		9		9		9	39.014	1	16.639	1		9		9		9
									2010-04-23T00:00:00.000	1	0020	1		9		9		9	39.014	1	16.646	1		9		9		9
