
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00001	*	2008-01-01T00:00:00.000	+21.596000	+36.825500	GN36200801PYL_00001_269_D90	269	1681.0	2008-01-01T00:00:00.000	1	0001	1		9		9		9		9		9		9
									2008-01-01T03:00:00.000	1	0001	1		9		9		9		9		9		9
									2008-01-01T06:00:00.000	1	0001	1		9		9		9		9		9		9
									2008-01-01T09:00:00.000	1	0001	1		9		9		9		9		9		9
									2008-01-01T12:00:00.000	1	0001	1	3.516	1	33.398	1	37.578	1	16.963	1		9		9
									2008-01-01T15:00:00.000	1	0001	1	0.586	1	11.250	3	37.920	1	16.938	1		9		9
									2008-01-01T18:00:00.000	1	0001	1	2.930	1	170.508	3	37.764	1	16.914	1		9		9
									2008-01-01T21:00:00.000	1	0001	1	6.738	1	182.461	1	37.549	1	16.914	1		9		9
									2008-01-02T00:00:00.000	1	0001	1	9.082	1	155.039	1	37.842	1	16.865	1		9		9
									2008-01-02T03:00:00.000	1	0001	1	12.012	1	145.547	1	37.676	1	16.865	1		9		9
									2008-01-02T06:00:00.000	1	0001	1	9.668	1	158.203	1	37.969	1	16.865	3		9		9
									2008-01-02T09:00:00.000	1	0001	1	6.445	1	170.156	1	37.803	1	16.865	3		9		9
									2008-01-02T12:00:00.000	1	0001	1	9.375	1	135.352	1	37.871	1	16.865	3		9		9
									2008-01-02T15:00:00.000	1	0001	1	8.496	1	120.234	1	38.037	1	16.865	3		9		9
									2008-01-02T18:00:00.000	1	0001	1	12.305	1	107.578	1	37.949	1	16.841	1		9		9
									2008-01-02T21:00:00.000	1	0001	1	9.082	1	120.938	1	37.871	1	16.816	1		9		9
									2008-01-03T00:00:00.000	1	0001	1	6.152	1	126.914	1	37.861	1	16.792	1		9		9
									2008-01-03T03:00:00.000	1	0001	1	7.617	1	161.719	3	37.773	1	16.792	1		9		9
									2008-01-03T06:00:00.000	1	0001	1	2.930	1	136.406	1	38.037	1	16.816	1		9		9
									2008-01-03T09:00:00.000	1	0001	1	6.445	1	106.875	1	37.939	1	16.816	1		9		9
									2008-01-03T12:00:00.000	1	0001	1	4.980	1	96.680	3	37.764	1	16.865	1		9		9
									2008-01-03T15:00:00.000	1	0001	1	4.395	1	43.945	3	37.988	1	16.865	1		9		9
									2008-01-03T18:00:00.000	1	0001	1	4.980	1	60.469	1	38.047	1	16.841	1		9		9
									2008-01-03T21:00:00.000	1	0001	1	6.152	1	51.680	1	38.047	1	16.841	1		9		9
									2008-01-04T00:00:00.000	1	0001	1	2.051	1	250.664	3	37.998	1	16.816	1		9		9
									2008-01-04T03:00:00.000	1	0001	1	3.516	1	350.156	3	37.852	1	16.768	1		9		9
									2008-01-04T06:00:00.000	1	0001	1	12.012	1	352.969	1	37.861	1	16.768	1		9		9
									2008-01-04T09:00:00.000	1	0001	1	12.305	1	323.438	1	37.041	1	16.670	1		9		9
									2008-01-04T12:00:00.000	1	0001	1	11.133	1	297.422	3	37.607	1	16.621	1		9		9
									2008-01-04T15:00:00.000	1	0001	1	16.992	1	349.453	1	37.578	1	16.621	1		9		9
									2008-01-04T18:00:00.000	1	0001	1	12.598	1	357.188	1	37.773	1	16.646	1		9		9
									2008-01-04T21:00:00.000	1	0001	1	7.910	1	329.766	1	37.959	1	16.768	1		9		9
									2008-01-05T00:00:00.000	1	0001	1	9.375	1	346.992	3	37.920	1	16.792	1		9		9
									2008-01-05T03:00:00.000	1	0001	1	6.738	1	294.961	3	37.959	1	16.743	1		9		9
									2008-01-05T06:00:00.000	1	0001	1	13.477	1	347.344	3	37.461	1	16.743	1		9		9
