
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	PRES [decibar=10000 pascals]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	TUR4 [N.T.U Nephelo Turb. Unit]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00050	*	2009-09-01T00:00:00.000	+21.596000	+36.825500	GN36200909PYL_00050_269_D90	269	1681.0	2009-09-01T00:00:00.000	1	0050	1		9		9		9	38.516	1	17.744	1		9		9		9
									2009-09-01T03:00:00.000	1	0050	1		9		9		9	38.525	1	17.524	1		9		9		9
									2009-09-01T06:00:00.000	1	0050	1		9		9		9	38.535	1	18.159	1		9		9		9
									2009-09-01T09:00:00.000	1	0050	1		9		9		9	38.535	1	17.891	1		9		9		9
									2009-09-01T12:00:00.000	1	0050	1		9		9		9	38.535	1	18.135	1		9		9		9
									2009-09-01T15:00:00.000	1	0050	1		9		9		9	38.545	1	18.306	1		9		9		9
									2009-09-01T18:00:00.000	1	0050	1		9		9		9	38.594	1	18.843	1		9		9		9
									2009-09-01T21:00:00.000	1	0050	1		9		9		9	38.633	1	18.892	1		9		9		9
									2009-09-02T00:00:00.000	1	0050	1		9		9		9	38.564	1	17.573	1		9		9		9
									2009-09-02T03:00:00.000	1	0050	1		9		9		9	38.525	1	17.646	1		9		9		9
									2009-09-02T06:00:00.000	1	0050	1		9		9		9	38.564	1	17.769	1		9		9		9
									2009-09-02T09:00:00.000	1	0050	1		9		9		9	38.652	1	18.794	1		9		9		9
									2009-09-02T12:00:00.000	1	0050	1		9		9		9	38.701	1	18.794	1		9		9		9
