
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	CNDC [mho/meter]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00003	*	2009-08-01T00:00:00.000	+22.093667	+36.971333	GN36200908KAL_00003_269_D90	269	340.0	2009-08-01T00:00:00.000	1	0003	1	21.387	1	322.383	3		9	38.320	1	26.558	1		9		9
									2009-08-01T03:00:00.000	1	0003	1	20.801	1	227.109	1		9	38.271	1	26.655	1		9		9
									2009-08-01T06:00:00.000	1	0003	1	14.062	1	248.555	1		9	38.213	1	26.655	1		9		9
									2009-08-01T09:00:00.000	1	0003	1	13.184	1	283.359	1		9	38.281	1	26.631	1		9		9
									2009-08-01T12:00:00.000	1	0003	1	17.871	1	356.133	1		9	38.359	1	26.680	1		9		9
									2009-08-01T15:00:00.000	1	0003	1	24.023	1	15.117	1		9	38.369	1	26.802	1		9		9
									2009-08-01T18:00:00.000	1	0003	1	16.406	1	286.523	3		9	38.389	1	26.631	1		9		9
									2009-08-01T21:00:00.000	1	0003	1	9.668	1	339.609	1		9	38.379	1	26.704	1		9		9
									2009-08-02T00:00:00.000	1	0003	1	9.961	1	270.000	3		9	38.389	1	26.631	1		9		9
									2009-08-02T03:00:00.000	1	0003	1	20.508	1	217.969	3		9	38.369	1	26.606	1		9		9
									2009-08-02T06:00:00.000	1	0003	1	8.203	1	11.953	3		9	38.359	1	26.729	1		9		9
									2009-08-02T09:00:00.000	1	0003	1	10.254	1	9.492	1		9	38.477	1	26.826	1		9		9
									2009-08-02T12:00:00.000	1	0003	1	18.457	1	311.133	1		9	38.477	1	27.046	1		9		9
									2009-08-02T15:00:00.000	1	0003	1	12.012	1	330.117	3		9	38.496	1	26.948	1		9		9
									2009-08-02T18:00:00.000	1	0003	1	9.961	1	97.031	3		9	38.389	1	26.924	1		9		9
									2009-08-02T21:00:00.000	1	0003	1	10.840	1	135.352	1		9	38.340	1	26.875	1		9		9
									2009-08-03T00:00:00.000	1	0003	1	7.324	1	158.203	1		9	38.252	1	26.948	1		9		9
									2009-08-03T03:00:00.000	1	0003	1	15.527	1	202.500	3		9	38.252	1	26.802	1		9		9
									2009-08-03T06:00:00.000	1	0003	1	14.941	1	117.773	1		9	38.330	1	26.777	1		9		9
									2009-08-03T09:00:00.000	1	0003	1	12.891	1	109.688	1		9	38.350	1	26.802	1		9		9
									2009-08-03T12:00:00.000	1	0003	1	8.496	1	15.820	1		9	38.350	1	27.168	1		9		9
									2009-08-03T15:00:00.000	1	0003	1	7.324	1	352.266	1		9	38.438	1	27.119	1		9		9
									2009-08-03T18:00:00.000	1	0003	1	5.859	1	77.344	3		9	38.457	1	26.948	1		9		9
									2009-08-03T21:00:00.000	1	0003	1	15.234	1	168.750	3		9	38.477	1	26.924	1		9		9
									2009-08-04T00:00:00.000	1	0003	1	10.840	1	151.172	1		9	38.389	1	26.973	1		9		9
									2009-08-04T03:00:00.000	1	0003	1	16.406	1	198.984	1		9	38.350	1	26.948	1		9		9
									2009-08-04T06:00:00.000	1	0003	1	5.273	1	154.688	3		9	38.418	1	26.948	1		9		9
									2009-08-04T09:00:00.000	1	0003	1	1.758	1	270.000	3		9	38.457	1	27.119	1		9		9
									2009-08-04T12:00:00.000	1	0003	1	5.273	1	357.891	3		9	38.457	1	27.070	1		9		9
									2009-08-04T15:00:00.000	1	0003	1	3.516	1	74.180	3		9	38.506	1	27.095	1		9		9
									2009-08-04T18:00:00.000	1	0003	1	6.738	1	149.062	1		9	38.525	1	26.997	1		9		9
									2009-08-04T21:00:00.000	1	0003	1	7.617	1	187.734	1		9	38.525	1	26.899	1		9		9
									2009-08-05T00:00:00.000	1	0003	1	2.344	1	165.234	1		9	38.525	1	26.875	1		9		9
									2009-08-05T03:00:00.000	1	0003	1	2.637	1	212.344	1		9	38.525	3	26.826	1		9		9
									2009-08-05T06:00:00.000	1	0003	1	4.102	1	181.406	3		9	38.389	1	27.168	1		9		9
									2009-08-05T09:00:00.000	1	0003	1	9.375	1	51.328	3		9	38.496	1	26.924	1		9		9
									2009-08-05T12:00:00.000	1	0003	1	8.496	1	356.836	1		9	38.506	1	27.217	1		9		9
									2009-08-05T15:00:00.000	1	0003	1	9.961	1	53.438	1		9	38.525	1	27.241	1		9		9
									2009-08-05T18:00:00.000	1	0003	1	15.527	1	95.625	3		9	38.604	1	27.046	1		9		9
									2009-08-05T21:00:00.000	1	0003	1	15.527	1	186.328	3		9	38.574	1	26.826	1		9		9
									2009-08-06T00:00:00.000	1	0003	1	14.648	1	208.125	1		9	38.574	1	26.777	1		9		9
