
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	PRES [decibar=10000 pascals]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	TUR4 [N.T.U Nephelo Turb. Unit]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00050	*	2010-11-01T00:00:00.000	+21.596000	+36.825500	GN36201011PYL_00050_269_D90	269	1681.0	2010-11-01T00:00:00.000	1	0050	1		9		9		9	38.584	1	18.336	1		9		9		9
									2010-11-01T03:00:00.000	1	0050	1		9		9		9	38.643	1	17.384	1		9		9		9
									2010-11-01T06:00:00.000	1	0050	1		9		9		9	38.555	1	18.232	1		9		9		9
									2010-11-01T09:00:00.000	1	0050	1		9		9		9	38.672	1	18.794	1		9		9		9
									2010-11-01T12:00:00.000	1	0050	1		9		9		9	38.760	1	21.254	1		9		9		9
									2010-11-01T15:00:00.000	1	0050	1		9		9		9	38.662	1	20.161	1		9		9		9
									2010-11-01T18:00:00.000	1	0050	1		9		9		9	38.564	1	18.849	1		9		9		9
									2010-11-01T21:00:00.000	1	0050	1		9		9		9	38.604	1	17.805	1		9		9		9
									2010-11-02T00:00:00.000	1	0050	1		9		9		9	38.623	1	19.484	1		9		9		9
									2010-11-02T03:00:00.000	1	0050	1		9		9		9	38.770	1	20.717	1		9		9		9
									2010-11-02T06:00:00.000	1	0050	1		9		9		9	38.721	1	20.662	1		9		9		9
									2010-11-02T09:00:00.000	1	0050	1		9		9		9	38.770	1	21.156	1		9		9		9
									2010-11-02T12:00:00.000	1	0050	1		9		9		9	38.799	1	21.687	1		9		9		9
									2010-11-02T15:00:00.000	1	0050	1		9		9		9	38.818	1	21.876	1		9		9		9
									2010-11-02T18:00:00.000	1	0050	1		9		9		9	38.828	1	21.913	1		9		9		9
									2010-11-02T21:00:00.000	1	0050	1		9		9		9	38.760	1	20.912	1		9		9		9
									2010-11-03T00:00:00.000	1	0050	1		9		9		9	38.760	1	21.113	1		9		9		9
									2010-11-03T03:00:00.000	1	0050	1		9		9		9	38.828	1	21.718	1		9		9		9
									2010-11-03T06:00:00.000	1	0050	1		9		9		9	38.828	1	21.901	1		9		9		9
									2010-11-03T09:00:00.000	1	0050	1		9		9		9	38.828	1	21.876	1		9		9		9
									2010-11-03T12:00:00.000	1	0050	1		9		9		9	38.818	1	21.840	1		9		9		9
									2010-11-03T15:00:00.000	1	0050	1		9		9		9	38.809	1	21.724	1		9		9		9
									2010-11-03T18:00:00.000	1	0050	1		9		9		9	38.779	1	21.248	1		9		9		9
									2010-11-03T21:00:00.000	1	0050	1		9		9		9	38.779	1	21.364	1		9		9		9
									2010-11-04T00:00:00.000	1	0050	1		9		9		9	38.799	1	21.443	1		9		9		9
									2010-11-04T03:00:00.000	1	0050	1		9		9		9	38.809	1	21.760	1		9		9		9
									2010-11-04T06:00:00.000	1	0050	1		9		9		9	38.818	1	21.766	1		9		9		9
									2010-11-04T09:00:00.000	1	0050	1		9		9		9	38.809	1	21.644	1		9		9		9
									2010-11-04T12:00:00.000	1	0050	1		9		9		9	38.789	1	21.510	1		9		9		9
									2010-11-04T15:00:00.000	1	0050	1		9		9		9	38.818	1	21.699	1		9		9		9
									2010-11-04T18:00:00.000	1	0050	1		9		9		9	38.789	1	21.638	1		9		9		9
									2010-11-04T21:00:00.000	1	0050	1		9		9		9	38.818	1	21.693	1		9		9		9
									2010-11-05T00:00:00.000	1	0050	1		9		9		9	38.799	1	21.650	1		9		9		9
									2010-11-05T03:00:00.000	1	0050	1		9		9		9	38.809	1	21.663	1		9		9		9
									2010-11-05T06:00:00.000	1	0050	1		9		9		9	38.809	1	21.003	1		9		9		9
									2010-11-05T09:00:00.000	1	0050	1		9		9		9	38.721	1	19.893	1		9		9		9
									2010-11-05T12:00:00.000	1	0050	1		9		9		9	38.799	1	21.376	1		9		9		9
									2010-11-05T15:00:00.000	1	0050	1		9		9		9	38.799	1	21.486	1		9		9		9
									2010-11-05T18:00:00.000	1	0050	1		9		9		9	38.799	1	21.510	1		9		9		9
									2010-11-05T21:00:00.000	1	0050	1		9		9		9	38.770	1	21.138	1		9		9		9
									2010-11-06T00:00:00.000	1	0050	1		9		9		9	38.691	1	20.057	1		9		9		9
									2010-11-06T03:00:00.000	1	0050	1		9		9		9	38.779	1	21.162	1		9		9		9
									2010-11-06T06:00:00.000	1	0050	1		9		9		9	38.779	1	21.174	1		9		9		9
									2010-11-06T09:00:00.000	1	0050	1		9		9		9	38.789	1	21.278	1		9		9		9
									2010-11-06T12:00:00.000	1	0050	1		9		9		9	38.809	1	21.577	1		9		9		9
									2010-11-06T15:00:00.000	1	0050	1		9		9		9	38.799	1	21.278	1		9		9		9
									2010-11-06T18:00:00.000	1	0050	1		9		9		9	38.779	1	21.187	1		9		9		9
									2010-11-06T21:00:00.000	1	0050	1		9		9		9	38.779	1	21.248	1		9		9		9
									2010-11-07T00:00:00.000	1	0050	1		9		9		9	38.789	1	21.504	1		9		9		9
									2010-11-07T03:00:00.000	1	0050	1		9		9		9	38.789	1	21.473	1		9		9		9
									2010-11-07T06:00:00.000	1	0050	1		9		9		9	38.799	1	21.357	1		9		9		9
									2010-11-07T09:00:00.000	1	0050	1		9		9		9	38.750	1	21.107	1		9		9		9
									2010-11-07T12:00:00.000	1	0050	1		9		9		9	38.701	1	20.442	1		9		9		9
									2010-11-07T15:00:00.000	1	0050	1		9		9		9	38.760	1	21.064	1		9		9		9
									2010-11-07T18:00:00.000	1	0050	1		9		9		9	38.750	1	21.034	1		9		9		9
									2010-11-07T21:00:00.000	1	0050	1		9		9		9	38.721	1	20.472	1		9		9		9
									2010-11-08T00:00:00.000	1	0050	1		9		9		9	38.760	1	21.144	1		9		9		9
									2010-11-08T03:00:00.000	1	0050	1		9		9		9	38.770	1	21.132	1		9		9		9
									2010-11-08T06:00:00.000	1	0050	1		9		9		9	38.740	1	20.820	1		9		9		9
									2010-11-08T09:00:00.000	1	0050	1		9		9		9	38.730	1	20.521	1		9		9		9
									2010-11-08T12:00:00.000	1	0050	1		9		9		9	38.789	1	20.619	1		9		9		9
									2010-11-08T15:00:00.000	1	0050	1		9		9		9	38.760	1	21.034	1		9		9		9
									2010-11-08T18:00:00.000	1	0050	1		9		9		9	38.730	1	21.486	1		9		9		9
									2010-11-08T21:00:00.000	1	0050	1		9		9		9	38.760	1	21.589	1		9		9		9
									2010-11-09T00:00:00.000	1	0050	1		9		9		9	38.730	1	21.437	1		9		9		9
									2010-11-09T03:00:00.000	1	0050	1		9		9		9	38.506	1	21.040	1		9		9		9
									2010-11-09T06:00:00.000	1	0050	1		9		9		9	38.877	1	19.697	1		9		9		9
									2010-11-09T09:00:00.000	1	0050	1		9		9		9	38.789	1	21.388	1		9		9		9
