
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00001	*	2009-04-01T00:00:00.000	+21.596000	+36.825500	GN36200904PYL_00001_269_D90	269	1681.0	2009-04-01T00:00:00.000	1	0001	1	6.738	1	197.227	1	37.734	1	15.596	1		9		9
									2009-04-01T03:00:00.000	1	0001	1	10.254	1	227.461	1	37.754	1	15.254	1		9		9
									2009-04-01T06:00:00.000	1	0001	1	14.062	1	250.664	1	37.705	1	15.229	1		9		9
									2009-04-01T09:00:00.000	1	0001	1	11.133	1	301.992	1	37.705	1	15.547	1		9		9
									2009-04-01T12:00:00.000	1	0001	1	10.254	1	326.953	1	37.705	1	15.571	1		9		9
									2009-04-01T15:00:00.000	1	0001	1	13.184	1	26.016	1	37.393	1	15.742	1		9		9
									2009-04-01T18:00:00.000	1	0001	1	6.445	1	63.984	1	37.637	1	15.596	1		9		9
									2009-04-01T21:00:00.000	1	0001	1	2.637	1	61.523	1	37.588	1	15.449	1		9		9
									2009-04-02T00:00:00.000	1	0001	1	5.273	1	256.992	3	37.500	1	15.352	1		9		9
									2009-04-02T03:00:00.000	1	0001	1	7.617	1	277.383	1	38.086	1	15.303	1		9		9
									2009-04-02T06:00:00.000	1	0001	1	6.445	1	308.672	1	37.480	1	15.303	1		9		9
									2009-04-02T09:00:00.000	1	0001	1	3.223	1	336.445	1	37.783	1	15.522	1		9		9
									2009-04-02T12:00:00.000	1	0001	1	4.395	1	245.742	3	37.959	1	15.645	1		9		9
									2009-04-02T15:00:00.000	1	0001	1	7.324	1	344.883	3	38.047	1	15.815	1		9		9
									2009-04-02T18:00:00.000	1	0001	1	9.082	1	298.477	1	37.881	1	15.571	1		9		9
									2009-04-02T21:00:00.000	1	0001	1	6.152	1	267.188	1	37.891	1	15.547	1		9		9
									2009-04-03T00:00:00.000	1	0001	1	8.789	1	227.461	1	37.930	1	15.498	1		9		9
									2009-04-03T03:00:00.000	1	0001	1	20.801	1	223.594	1	37.861	1	15.498	1		9		9
									2009-04-03T06:00:00.000	1	0001	1	17.871	1	235.547	1	37.832	1	15.522	1		9		9
									2009-04-03T09:00:00.000	1	0001	1	12.891	1	241.172	1	37.803	1	16.060	1		9		9
									2009-04-03T12:00:00.000	1	0001	1	10.254	1	249.961	1	37.783	1	16.548	1		9		9
									2009-04-03T15:00:00.000	1	0001	1	7.031	1	236.602	1	37.881	1	16.499	1		9		9
									2009-04-03T18:00:00.000	1	0001	1	7.910	1	177.188	1	37.891	1	16.011	1		9		9
									2009-04-03T21:00:00.000	1	0001	1	14.941	1	201.094	1	37.979	1	15.767	1		9		9
									2009-04-04T00:00:00.000	1	0001	1	10.547	1	193.711	1	37.998	1	15.596	1		9		9
									2009-04-04T03:00:00.000	1	0001	1	15.820	1	227.109	1	38.154	1	15.767	1		9		9
									2009-04-04T06:00:00.000	1	0001	1	17.285	1	213.750	1	38.125	1	15.718	1		9		9
									2009-04-04T09:00:00.000	1	0001	1	16.113	1	224.648	1	38.125	1	16.230	1		9		9
									2009-04-04T12:00:00.000	1	0001	1	14.941	1	189.141	1	38.125	1	16.523	1		9		9
									2009-04-04T15:00:00.000	1	0001	1	10.254	1	157.852	1	38.105	1	16.133	1		9		9
									2009-04-04T18:00:00.000	1	0001	1	15.234	1	162.773	1	38.047	1	15.742	1		9		9
									2009-04-04T21:00:00.000	1	0001	1	24.316	1	195.469	1	38.027	1	15.767	1		9		9
									2009-04-05T00:00:00.000	1	0001	1	22.266	1	210.234	1	37.969	1	15.864	1		9		9
									2009-04-05T03:00:00.000	1	0001	1	12.305	1	242.930	1	38.047	1	15.962	1		9		9
									2009-04-05T06:00:00.000	1	0001	1	7.324	1	284.766	1	38.027	1	15.986	1		9		9
									2009-04-05T09:00:00.000	1	0001	1	11.719	1	330.469	3	38.037	1	16.108	1		9		9
									2009-04-05T12:00:00.000	1	0001	1	9.082	1	60.469	3	38.027	1	16.084	1		9		9
