
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00001	*	2011-11-01T00:00:00.000	+21.596000	+36.825500	GN36201111PYL_00001_269_D90	269	1681.0	2011-11-01T00:00:00.000	1	0001	1	16.113	1	2.461	1	39.033	1	21.829	1		9		9
									2011-11-01T03:00:00.000	1	0001	1	15.527	1	349.805	1	39.036	1	21.809	1		9		9
									2011-11-01T06:00:00.000	1	0001	1	18.457	1	1.406	1	39.031	1	21.783	1		9		9
									2011-11-01T09:00:00.000	1	0001	1	18.750	1	14.414	1	39.023	1	21.763	1		9		9
									2011-11-01T12:00:00.000	1	0001	1	22.852	1	43.242	1	38.979	1	21.651	1		9		9
									2011-11-01T15:00:00.000	1	0001	1	21.973	1	29.180	1	39.026	1	21.756	1		9		9
									2011-11-01T18:00:00.000	1	0001	1	15.234	1	350.508	1	38.997	1	21.651	1		9		9
									2011-11-01T21:00:00.000	1	0001	1	16.113	1	343.828	1	39.011	1	21.664	1		9		9
									2011-11-02T00:00:00.000	1	0001	1	14.941	1	338.555	1	39.023	1	21.704	1		9		9
									2011-11-02T03:00:00.000	1	0001	1	18.750	1	333.281	1	39.011	1	21.710	1		9		9
									2011-11-02T06:00:00.000	1	0001	1	24.316	1	3.516	1	39.023	1	21.664	1		9		9
									2011-11-02T09:00:00.000	1	0001	1	20.215	1	343.125	1	39.055	1	21.638	1		9		9
									2011-11-02T12:00:00.000	1	0001	1	24.902	1	346.992	1	39.033	1	21.552	1		9		9
									2011-11-02T15:00:00.000	1	0001	1	32.227	1	351.562	1	39.038	1	21.618	1		9		9
									2011-11-02T18:00:00.000	1	0001	1	8.203	1	340.312	1	39.028	1	21.519	1		9		9
									2011-11-02T21:00:00.000	1	0001	1	30.176	1	331.172	1	39.043	1	21.552	1		9		9
									2011-11-03T00:00:00.000	1	0001	1	19.043	1	340.312	1	38.921	1	21.288	1		9		9
									2011-11-03T03:00:00.000	1	0001	1	17.285	1	337.148	1	38.936	1	21.334	1		9		9
									2011-11-03T06:00:00.000	1	0001	1	29.004	1	332.227	1	38.950	1	21.328	1		9		9
									2011-11-03T09:00:00.000	1	0001	1	24.902	1	331.875	1	38.975	1	21.341	1		9		9
									2011-11-03T12:00:00.000	1	0001	1	16.699	1	215.156	3	38.972	1	21.341	1		9		9
									2011-11-03T15:00:00.000	1	0001	1	18.750	1	263.320	1	38.962	1	21.275	1		9		9
									2011-11-03T18:00:00.000	1	0001	1	14.648	1	331.523	1	38.950	1	21.236	1		9		9
									2011-11-03T21:00:00.000	1	0001	1	15.527	1	335.039	1	39.006	1	21.361	1		9		9
									2011-11-04T00:00:00.000	1	0001	1	14.355	1	342.773	1	39.016	1	21.407	1		9		9
									2011-11-04T03:00:00.000	1	0001	1	16.113	1	341.016	1	38.950	1	21.209	1		9		9
									2011-11-04T06:00:00.000	1	0001	1	30.762	1	339.609	1	38.894	1	21.163	1		9		9
									2011-11-04T09:00:00.000	1	0001	1	23.438	1	4.570	1	38.926	1	21.203	1		9		9
									2011-11-04T12:00:00.000	1	0001	1	41.602	1	343.477	1	38.936	1	21.334	1		9		9
									2011-11-04T15:00:00.000	1	0001	1	36.914	1	339.609	1	38.938	1	21.222	1		9		9
									2011-11-04T18:00:00.000	1	0001	1	28.125	1	344.883	1	38.887	1	21.222	1		9		9
									2011-11-04T21:00:00.000	1	0001	1	21.973	1	5.273	1	38.867	1	21.341	1		9		9
									2011-11-05T00:00:00.000	1	0001	1	10.254	1	323.789	1	38.875	1	21.288	1		9		9
									2011-11-05T03:00:00.000	1	0001	1	17.578	1	335.039	1	38.899	1	21.196	1		9		9
									2011-11-05T06:00:00.000	1	0001	1	25.488	1	328.359	1	38.987	1	21.156	1		9		9
									2011-11-05T09:00:00.000	1	0001	1	27.539	1	349.102	1	38.987	1	21.203	1		9		9
									2011-11-05T12:00:00.000	1	0001	1	30.469	1	8.086	1	38.962	1	21.262	1		9		9
									2011-11-05T15:00:00.000	1	0001	1	44.531	1	347.695	1	38.953	1	21.209	1		9		9
									2011-11-05T18:00:00.000	1	0001	1	36.914	1	343.477	1	38.972	1	21.288	1		9		9
									2011-11-05T21:00:00.000	1	0001	1	13.184	1	344.180	1	38.940	1	21.282	1		9		9
									2011-11-06T00:00:00.000	1	0001	1	31.934	1	353.320	1	38.970	1	21.183	1		9		9
									2011-11-06T03:00:00.000	1	0001	1	27.832	1	353.320	1	38.933	1	21.203	1		9		9
									2011-11-06T06:00:00.000	1	0001	1	38.086	1	17.227	1	38.936	1	21.203	1		9		9
									2011-11-06T09:00:00.000	1	0001	1	29.297	1	7.383	1	38.923	1	21.170	1		9		9
									2011-11-06T12:00:00.000	1	0001	1	32.812	1	28.828	1	38.882	1	21.163	1		9		9
									2011-11-06T15:00:00.000	1	0001	1	31.348	1	51.680	1	38.979	1	21.242	1		9		9
									2011-11-06T18:00:00.000	1	0001	1	24.902	1	52.734	1	38.953	1	21.156	1		9		9
									2011-11-06T21:00:00.000	1	0001	1	28.125	1	48.164	1	38.975	1	21.209	1		9		9
									2011-11-07T00:00:00.000	1	0001	1	24.609	1	53.438	1	38.977	1	21.189	1		9		9
									2011-11-07T03:00:00.000	1	0001	1	22.852	1	35.508	1	38.967	1	21.117	1		9		9
									2011-11-07T06:00:00.000	1	0001	1	26.074	1	34.453	1	38.972	1	21.097	1		9		9
									2011-11-07T09:00:00.000	1	0001	1	24.609	1	39.727	1	38.975	1	21.150	1		9		9
									2011-11-07T12:00:00.000	1	0001	1	26.367	1	149.766	3	38.975	1	21.183	1		9		9
									2011-11-07T15:00:00.000	1	0001	1	19.629	1	114.961	1	38.931	1	21.018	1		9		9
									2011-11-07T18:00:00.000	1	0001	1	13.184	1	111.094	1	38.931	1	20.985	1		9		9
									2011-11-07T21:00:00.000	1	0001	1	21.680	1	0.703	3	38.938	1	20.965	1		9		9
									2011-11-08T00:00:00.000	1	0001	1	14.062	1	357.891	1	38.933	1	20.899	1		9		9
									2011-11-08T03:00:00.000	1	0001	1	17.285	1	349.102	1	38.950	1	20.906	1		9		9
									2011-11-08T06:00:00.000	1	0001	1	15.527	1	335.742	1	38.979	1	20.781	1		9		9
									2011-11-08T09:00:00.000	1	0001	1	17.578	1	356.484	1	38.992	1	20.959	1		9		9
									2011-11-08T12:00:00.000	1	0001	1	21.094	1	19.336	1	38.914	1	20.998	1		9		9
									2011-11-08T15:00:00.000	1	0001	1	20.215	1	348.750	1	38.914	1	20.939	1		9		9
									2011-11-08T18:00:00.000	1	0001	1	17.285	1	351.914	1	38.909	1	20.827	1		9		9
									2011-11-08T21:00:00.000	1	0001	1	19.336	1	346.992	1	38.923	1	20.847	1		9		9
									2011-11-09T00:00:00.000	1	0001	1	22.852	1	342.422	1	38.997	1	20.899	1		9		9
									2011-11-09T03:00:00.000	1	0001	1	16.992	1	333.633	1	38.987	1	20.781	1		9		9
									2011-11-09T06:00:00.000	1	0001	1	36.914	1	339.609	1	38.967	1	20.840	1		9		9
									2011-11-09T09:00:00.000	1	0001	1	25.195	1	342.773	1	38.962	1	20.886	1		9		9
									2011-11-09T12:00:00.000	1	0001	1	28.711	1	347.695	1	38.953	1	20.801	1		9		9
									2011-11-09T15:00:00.000	1	0001	1	49.219	1	342.070	1	38.914	1	20.820	1		9		9
									2011-11-09T18:00:00.000	1	0001	1	35.742	1	345.234	1	38.923	1	20.768	1		9		9
									2011-11-09T21:00:00.000	1	0001	1	12.598	1	348.047	1	38.914	1	20.768	1		9		9
									2011-11-10T00:00:00.000	1	0001	1	16.699	1	310.430	1	38.901	1	20.768	1		9		9
									2011-11-10T03:00:00.000	1	0001	1	17.578	1	341.719	1	38.887	1	20.834	1		9		9
									2011-11-10T06:00:00.000	1	0001	1	14.355	1	329.766	1	38.879	1	20.866	1		9		9
									2011-11-10T09:00:00.000	1	0001	1	16.113	1	32.695	3	38.867	1	20.893	1		9		9
									2011-11-10T12:00:00.000	1	0001	1	19.629	1	193.359	3	38.877	1	21.130	1		9		9
									2011-11-10T15:00:00.000	1	0001	1	19.922	1	332.227	3	38.896	1	20.959	1		9		9
									2011-11-10T18:00:00.000	1	0001	1	17.871	1	334.336	1	38.884	1	20.860	1		9		9
									2011-11-10T21:00:00.000	1	0001	1	2.344	1	354.727	1	38.870	1	20.820	1		9		9
									2011-11-11T00:00:00.000	1	0001	1	16.113	1	349.102	1	38.918	1	20.794	1		9		9
									2011-11-11T03:00:00.000	1	0001	1	19.629	1		9	38.918	1	20.675	1		9		9
									2011-11-11T06:00:00.000	1	0001	1	15.234	1	14.766	1	38.901	1	20.656	1		9		9
									2011-11-11T09:00:00.000	1	0001	1	21.973	1	38.320	1	38.911	1	20.669	1		9		9
									2011-11-11T12:00:00.000	1	0001	1	23.145	1	34.102	1	38.914	1	20.682	1		9		9
									2011-11-11T15:00:00.000	1	0001	1	36.035	1	15.469	1	38.916	1	20.656	1		9		9
									2011-11-11T18:00:00.000	1	0001	1	21.094	1	3.164	1	38.877	1	20.530	1		9		9
									2011-11-11T21:00:00.000	1	0001	1	13.477	1	329.414	1	38.882	1	20.550	1		9		9
									2011-11-12T00:00:00.000	1	0001	1	14.355	1	336.445	1	38.889	1	20.511	1		9		9
									2011-11-12T03:00:00.000	1	0001	1	15.234	1	335.391	1	38.940	1	20.491	1		9		9
									2011-11-12T06:00:00.000	1	0001	1	19.629	1	327.656	1	38.960	1	20.484	1		9		9
									2011-11-12T09:00:00.000	1	0001	1	16.699	1	344.883	1	38.958	1	20.471	1		9		9
									2011-11-12T12:00:00.000	1	0001	1	19.922	1	347.344	1	38.967	1	20.491	1		9		9
									2011-11-12T15:00:00.000	1	0001	1	21.094	1	355.430	1	38.970	1	20.458	1		9		9
									2011-11-12T18:00:00.000	1	0001	1	19.922	1	1.758	1	38.948	1	20.385	1		9		9
									2011-11-12T21:00:00.000	1	0001	1	19.629	1	4.922	1	38.928	1	20.300	1		9		9
									2011-11-13T00:00:00.000	1	0001	1		9		9	38.933	1	20.286	1		9		9
									2011-11-13T03:00:00.000	1	0001	1		9		9	38.972	1	20.405	1		9		9
									2011-11-13T06:00:00.000	1	0001	1		9		9	38.909	1	20.286	1		9		9
									2011-11-13T09:00:00.000	1	0001	1	37.500	1	346.992	1	38.945	1	20.425	1		9		9
									2011-11-13T12:00:00.000	1	0001	1	47.461	1	338.555	1	38.953	1	20.451	1		9		9
									2011-11-13T15:00:00.000	1	0001	1	38.672	1	325.898	1	38.931	1	20.372	1		9		9
									2011-11-13T18:00:00.000	1	0001	1	29.590	1	297.422	1	38.938	1	20.339	1		9		9
									2011-11-13T21:00:00.000	1	0001	1	36.914	1	315.352	1	38.936	1	20.313	1		9		9
									2011-11-14T00:00:00.000	1	0001	1	30.176	3	286.875	3	38.914	1	20.306	1		9		9
									2011-11-14T03:00:00.000	1	0001	1		9		9	38.940	1	20.267	1		9		9
									2011-11-14T06:00:00.000	1	0001	1		9		9	38.933	1	20.201	1		9		9
									2011-11-14T09:00:00.000	1	0001	1		9		9	38.923	1	20.194	1		9		9
									2011-11-14T12:00:00.000	1	0001	1	8.496	1	290.391	1	38.928	1	20.234	1		9		9
									2011-11-14T15:00:00.000	1	0001	1	7.031	1	341.016	1	38.940	1	20.181	1		9		9
									2011-11-14T18:00:00.000	1	0001	1	14.648	1	325.195	1	38.953	1	20.069	1		9		9
									2011-11-14T21:00:00.000	1	0001	1		9		9	38.892	1	19.977	1		9		9
									2011-11-15T00:00:00.000	1	0001	1		9		9	38.884	1	20.023	1		9		9
									2011-11-15T03:00:00.000	1	0001	1		9		9	38.904	1	19.950	1		9		9
									2011-11-15T06:00:00.000	1	0001	1		9		9	38.904	1	19.944	1		9		9
									2011-11-15T09:00:00.000	1	0001	1		9		9	38.911	1	19.963	1		9		9
									2011-11-15T12:00:00.000	1	0001	1		9		9	38.940	1	20.135	1		9		9
									2011-11-15T15:00:00.000	1	0001	1	11.133	3	41.836	3	38.870	1	19.983	1		9		9
									2011-11-15T18:00:00.000	1	0001	1		9		9	38.872	1	19.944	1		9		9
									2011-11-15T21:00:00.000	1	0001	1		9		9	38.926	1	20.036	1		9		9
									2011-11-16T00:00:00.000	1	0001	1		9		9	38.892	1	20.075	1		9		9
									2011-11-16T03:00:00.000	1	0001	1		9		9	38.862	1	20.062	1		9		9
									2011-11-16T06:00:00.000	1	0001	1		9		9	38.867	1	20.069	1		9		9
									2011-11-16T09:00:00.000	1	0001	1		9		9	38.911	1	20.168	1		9		9
									2011-11-16T12:00:00.000	1	0001	1		9		9	38.928	1	20.194	1		9		9
