
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00001	*	2011-05-01T00:00:00.000	+21.596000	+36.825500	GN36201105PYL_00001_269_D90	269	1681.0	2011-05-01T00:00:00.000	1	0001	1	0.293	1	270.000	1	38.689	1	17.327	1		9		9
									2011-05-01T03:00:00.000	1	0001	1	11.133	1	319.570	1	38.682	1	17.248	1		9		9
									2011-05-01T06:00:00.000	1	0001	1	17.285	1	331.523	1	38.665	1	17.109	1		9		9
									2011-05-01T09:00:00.000	1	0001	1	21.387	1	6.328	1	38.679	1	17.109	1		9		9
									2011-05-01T12:00:00.000	1	0001	1	17.578	1	40.430	1	38.687	1	17.188	1		9		9
									2011-05-01T15:00:00.000	1	0001	1	20.508	1	79.805	1	38.677	1	17.406	1		9		9
									2011-05-01T18:00:00.000	1	0001	1	13.770	1	145.547	1	38.674	1	17.313	1		9		9
									2011-05-01T21:00:00.000	1	0001	1	10.547	1	189.492	1	38.672	1	17.254	1		9		9
									2011-05-02T00:00:00.000	1	0001	1	5.859	1	247.148	3	38.674	1	17.215	1		9		9
									2011-05-02T03:00:00.000	1	0001	1	3.223	1	51.328	3	38.677	1	17.182	1		9		9
									2011-05-02T06:00:00.000	1	0001	1	14.941	1	91.055	1	38.672	1	17.215	1		9		9
									2011-05-02T09:00:00.000	1	0001	1	17.285	1	107.578	1	38.662	1	17.676	1		9		9
									2011-05-02T12:00:00.000	1	0001	1	23.145	1	110.742	1	38.660	1	17.795	1		9		9
									2011-05-02T15:00:00.000	1	0001	1	10.254	1	137.461	1	38.655	1	17.630	1		9		9
									2011-05-02T18:00:00.000	1	0001	1	15.820	1	172.969	1	38.655	1	17.636	1		9		9
									2011-05-02T21:00:00.000	1	0001	1	8.496	1	203.906	1	38.660	1	17.590	1		9		9
									2011-05-03T00:00:00.000	1	0001	1	1.465	1	225.000	3	38.657	1	17.505	1		9		9
									2011-05-03T03:00:00.000	1	0001	1	6.738	1	25.312	3	38.655	1	17.491	1		9		9
									2011-05-03T06:00:00.000	1	0001	1	8.496	1	18.984	1	38.652	1	17.439	1		9		9
									2011-05-03T09:00:00.000	1	0001	1	12.891	1	354.375	1	38.652	1	17.478	1		9		9
									2011-05-03T12:00:00.000	1	0001	1	17.871	1	353.672	1	38.694	1	17.544	1		9		9
									2011-05-03T15:00:00.000	1	0001	1	15.820	1	7.383	1	38.762	1	17.795	1		9		9
									2011-05-03T18:00:00.000	1	0001	1	4.980	1	61.875	3	38.794	1	17.841	1		9		9
									2011-05-03T21:00:00.000	1	0001	1	9.961	1	249.258	3	38.748	1	17.597	1		9		9
									2011-05-04T00:00:00.000	1	0001	1	12.012	1	292.500	1	38.704	1	17.491	1		9		9
									2011-05-04T03:00:00.000	1	0001	1	9.961	1	296.367	1	38.682	1	17.439	1		9		9
									2011-05-04T06:00:00.000	1	0001	1	9.082	1	310.781	1	38.689	1	17.478	1		9		9
									2011-05-04T09:00:00.000	1	0001	1	4.688	1	349.102	3	38.687	1	17.551	1		9		9
									2011-05-04T12:00:00.000	1	0001	1	6.152	1	104.766	3	38.699	1	17.821	1		9		9
									2011-05-04T15:00:00.000	1	0001	1	9.668	1	125.156	1	38.699	1	17.861	1		9		9
									2011-05-04T18:00:00.000	1	0001	1	13.770	1	204.609	1	38.679	1	17.768	1		9		9
									2011-05-04T21:00:00.000	1	0001	1	15.527	1	214.805	1	38.662	1	17.722	1		9		9
									2011-05-05T00:00:00.000	1	0001	1	11.426	1	238.008	1	38.669	1	17.683	1		9		9
									2011-05-05T03:00:00.000	1	0001	1	5.566	1	212.695	1	38.674	1	17.709	1		9		9
									2011-05-05T06:00:00.000	1	0001	1	5.273	1	183.164	1	38.677	1	17.742	1		9		9
									2011-05-05T09:00:00.000	1	0001	1	10.547	1	170.859	1	38.674	1	17.880	1		9		9
									2011-05-05T12:00:00.000	1	0001	1	16.406	1	167.695	1	38.674	1	17.986	1		9		9
									2011-05-05T15:00:00.000	1	0001	1	24.609	1	166.641	1	38.669	1	18.091	1		9		9
									2011-05-05T18:00:00.000	1	0001	1	26.953	1	173.320	1	38.684	1	18.012	1		9		9
									2011-05-05T21:00:00.000	1	0001	1	24.902	1	190.547	1	38.687	1	17.867	1		9		9
									2011-05-06T00:00:00.000	1	0001	1	16.699	1	183.867	1	38.699	1	17.749	1		9		9
									2011-05-06T03:00:00.000	1	0001	1	6.738	1	161.719	1	38.701	1	17.696	1		9		9
									2011-05-06T06:00:00.000	1	0001	1	10.254	1	146.953	1	38.701	1	17.702	1		9		9
									2011-05-06T09:00:00.000	1	0001	1	5.859	1	135.000	1	38.701	1	17.966	1		9		9
									2011-05-06T12:00:00.000	1	0001	1	15.234	1	84.375	1	38.699	1	18.124	1		9		9
									2011-05-06T15:00:00.000	1	0001	1	14.355	1	93.867	1	38.701	1	18.131	1		9		9
									2011-05-06T18:00:00.000	1	0001	1	13.477	1	103.008	1	38.696	1	17.986	1		9		9
									2011-05-06T21:00:00.000	1	0001	1	12.891	1	114.609	1	38.699	1	17.966	1		9		9
									2011-05-07T00:00:00.000	1	0001	1	12.305	1	111.797	1	38.699	1	17.933	1		9		9
									2011-05-07T03:00:00.000	1	0001	1	8.789	1	159.258	1	38.699	1	17.894	1		9		9
									2011-05-07T06:00:00.000	1	0001	1	4.688	1	197.578	3	38.689	1	17.867	1		9		9
									2011-05-07T09:00:00.000	1	0001	1	3.223	1	47.461	3	38.733	1	18.843	1		9		9
									2011-05-07T12:00:00.000	1	0001	1	8.203	1	140.977	1	38.709	1	18.691	1		9		9
									2011-05-07T15:00:00.000	1	0001	1	8.789	1	138.516	1	38.696	1	18.368	1		9		9
									2011-05-07T18:00:00.000	1	0001	1	12.598	1	141.328	1	38.704	1	18.124	1		9		9
									2011-05-07T21:00:00.000	1	0001	1	12.012	1	152.930	1	38.699	1	17.999	1		9		9
									2011-05-08T00:00:00.000	1	0001	1	10.254	1	183.867	1	38.694	1	17.927	1		9		9
									2011-05-08T03:00:00.000	1	0001	1	4.395	1	223.945	1	38.696	1	17.874	1		9		9
									2011-05-08T06:00:00.000	1	0001	1	2.637	1	145.547	1	38.699	1	17.867	1		9		9
									2011-05-08T09:00:00.000	1	0001	1	8.203	1	145.195	1	38.699	1	17.999	1		9		9
									2011-05-08T12:00:00.000	1	0001	1	18.750	1	130.781	1	38.701	1	18.124	1		9		9
									2011-05-08T15:00:00.000	1	0001	1	24.902	1	148.359	1	38.694	1	18.131	1		9		9
									2011-05-08T18:00:00.000	1	0001	1	19.922	1	171.914	1	38.701	1	18.025	1		9		9
									2011-05-08T21:00:00.000	1	0001	1	8.789	1	200.391	1	38.699	1	17.979	1		9		9
									2011-05-09T00:00:00.000	1	0001	1	3.809	1	219.727	3	38.704	1	17.940	1		9		9
									2011-05-09T03:00:00.000	1	0001	1	5.566	1	110.039	1	38.701	1	17.894	1		9		9
