
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	CNDC [mho/meter]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00003	*	2008-01-01T00:00:00.000	+20.601000	+37.948833	GN36200801ZAK_00003_269_D90	269	313.0	2008-01-01T00:00:00.000	1	0003	1	8.789	1	255.586	3		9	38.398	1	15.742	1	8.569	1		9
									2008-01-01T03:00:00.000	1	0003	1	8.496	1	134.648	3		9	38.408	1	15.742	1	8.613	1		9
									2008-01-01T06:00:00.000	1	0003	1	12.598	1	176.484	1		9	38.408	1	15.742	3	8.569	1		9
									2008-01-01T09:00:00.000	1	0003	1	9.668	1	157.500	1		9	38.408	1	15.767	1	8.511	1		9
									2008-01-01T12:00:00.000	1	0003	1	37.207	1	121.289	1		9	38.369	1	15.962	1	8.496	1		9
									2008-01-01T15:00:00.000	1	0003	1	38.965	1	132.188	1		9	38.340	1	15.913	1	8.511	1		9
									2008-01-01T18:00:00.000	1	0003	1	32.227	1	139.922	1		9	38.311	1	15.840	1	8.569	1		9
									2008-01-01T21:00:00.000	1	0003	1	29.590	1	139.922	1		9	38.350	1	15.767	1	8.599	1		9
									2008-01-02T00:00:00.000	1	0003	1	19.043	1	119.531	1		9	38.350	1	15.742	1	8.599	1		9
									2008-01-02T03:00:00.000	1	0003	1	17.578	1	111.797	1		9	38.369	1	15.791	1	8.540	1		9
									2008-01-02T06:00:00.000	1	0003	1	14.062	1	99.141	1		9	38.135	1	15.815	1	8.569	1		9
									2008-01-02T09:00:00.000	1	0003	1	15.820	1	126.914	1		9	37.871	1	15.840	1	8.569	1		9
									2008-01-02T12:00:00.000	1	0003	1	18.457	1	131.484	1		9	38.379	1	15.815	1	8.569	1		9
									2008-01-02T15:00:00.000	1	0003	1	19.043	1	135.703	1		9	38.340	1	15.791	1	8.584	1		9
									2008-01-02T18:00:00.000	1	0003	1	22.266	1	154.336	1		9	38.369	1	15.742	1	8.599	1		9
									2008-01-02T21:00:00.000	1	0003	1	21.094	1	168.047	1		9	38.369	1	15.718	1	8.569	1		9
									2008-01-03T00:00:00.000	1	0003	1	22.559	1	180.352	1		9	38.379	1	15.693	1	8.584	1		9
									2008-01-03T03:00:00.000	1	0003	1	18.750	1	188.438	1		9	38.359	1	15.669	1	8.555	1		9
									2008-01-03T06:00:00.000	1	0003	1	22.266	1	186.328	1		9	38.379	1	15.645	1	8.569	1		9
									2008-01-03T09:00:00.000	1	0003	1	13.770	1	253.125	1		9	38.457	1	15.938	1	8.438	1		9
									2008-01-03T12:00:00.000	1	0003	1	27.832	1	305.859	1		9	38.516	1	16.133	1	8.423	1		9
									2008-01-03T15:00:00.000	1	0003	1	15.820	1	310.430	1		9	38.506	1	16.182	1	8.452	1		9
									2008-01-03T18:00:00.000	1	0003	1	10.254	1	287.227	1		9	38.506	1	16.206	1	8.408	1		9
									2008-01-03T21:00:00.000	1	0003	1	16.113	1	311.133	1		9	38.496	1	16.206	1	8.408	1		9
									2008-01-04T00:00:00.000	1	0003	1	25.488	1	296.016	1		9	38.496	1	16.133	1	8.481	1		9
									2008-01-04T03:00:00.000	1	0003	1	15.527	1	322.383	1		9	38.506	1	16.108	1	8.467	1		9
									2008-01-04T06:00:00.000	1	0003	1	14.941	1	322.383	1		9	38.428	1	16.084	1	8.438	1		9
									2008-01-04T09:00:00.000	1	0003	1	16.113	1	313.594	1		9	38.428	1	16.084	1	8.408	1		9
									2008-01-04T12:00:00.000	1	0003	1	14.941	1	308.320	1		9	38.457	1	16.084	1	8.408	1		9
									2008-01-04T15:00:00.000	1	0003	1	11.133	1	331.875	1		9	38.447	1	16.060	1	8.496	1		9
									2008-01-04T18:00:00.000	1	0003	1	9.082	1	346.289	1		9	38.486	1	16.035	1	8.467	1		9
									2008-01-04T21:00:00.000	1	0003	1	10.547	1	66.445	3		9	38.262	1	15.571	1	8.569	1		9
									2008-01-05T00:00:00.000	1	0003	1	11.719	1	55.898	1		9	38.291	1	15.522	1	8.540	1		9
									2008-01-05T03:00:00.000	1	0003	1	6.738	1	68.555	1		9	38.174	1	15.547	1	8.525	3		9
									2008-01-05T06:00:00.000	1	0003	1	9.668	1	2.812	1		9	38.262	1	15.522	1	8.921	3		9
									2008-01-05T09:00:00.000	1	0003	1	10.547	1	28.828	1		9	38.203	1	15.547	1	8.569	1		9
									2008-01-05T12:00:00.000	1	0003	1	14.648	1	75.234	1		9	38.164	1	15.522	1	8.540	1		9
									2008-01-05T15:00:00.000	1	0003	1	9.668	1	54.492	1		9	38.262	1	15.522	1	8.540	1		9
									2008-01-05T18:00:00.000	1	0003	1	10.254	1	54.141	1		9	38.223	1	15.522	1	8.672	1		9
									2008-01-05T21:00:00.000	1	0003	1	9.082	1	65.039	1		9	38.262	1	15.498	1	8.584	1		9
									2008-01-06T00:00:00.000	1	0003	1	9.375	1	53.789	1		9	38.262	1	15.522	1	8.540	1		9
									2008-01-06T03:00:00.000	1	0003	1	10.254	1	57.305	1		9	38.125	1	15.522	1	8.584	1		9
									2008-01-06T06:00:00.000	1	0003	1	9.668	1	31.289	1		9	38.281	1	15.547	1	8.452	1		9
									2008-01-06T09:00:00.000	1	0003	1	20.215	1	62.227	1		9	38.320	1	15.596	1	8.496	1		9
									2008-01-06T12:00:00.000	1	0003	1	16.992	1	24.609	1		9	38.330	1	15.645	1	8.525	1		9
									2008-01-06T15:00:00.000	1	0003	1	24.902	1	41.133	1		9	38.301	1	15.620	1	8.569	1		9
									2008-01-06T18:00:00.000	1	0003	1	24.316	1	49.570	1		9	38.301	1	15.620	1	8.540	1		9
									2008-01-06T21:00:00.000	1	0003	1	28.125	1	60.469	1		9	38.291	1	15.620	1	8.408	1		9
									2008-01-07T00:00:00.000	1	0003	1	16.406	1	63.281	1		9	38.301	3	15.620	3	8.584	1		9
									2008-01-07T03:00:00.000	1	0003	1	14.355	1	61.875	1		9	38.311	1	15.620	3	8.584	1		9
									2008-01-07T06:00:00.000	1	0003	1	14.355	1	80.859	1		9	38.311	1	15.620	3	8.584	1		9
									2008-01-07T09:00:00.000	1	0003	1	7.031	1	76.289	1		9	38.311	1	15.620	3	8.481	1		9
									2008-01-07T12:00:00.000	1	0003	1	11.133	1	44.297	1		9	38.301	1	15.742	1	8.511	1		9
									2008-01-07T15:00:00.000	1	0003	1	9.668	1	51.328	1		9	38.252	1	15.693	1	8.540	1		9
									2008-01-07T18:00:00.000	1	0003	1	11.426	1	61.875	1		9	38.252	1	15.669	1	8.525	1		9
									2008-01-07T21:00:00.000	1	0003	1	4.980	1	60.469	1		9	38.340	1	15.645	1	8.599	1		9
									2008-01-08T00:00:00.000	1	0003	1	7.031	1	63.281	3		9	38.301	1	15.669	1	8.687	1		9
									2008-01-08T03:00:00.000	1	0003	1	1.758	1	197.227	3		9	38.281	1	15.645	1	8.569	1		9
									2008-01-08T06:00:00.000	1	0003	1	6.152	1	142.383	1		9	38.311	1	15.645	1	8.569	1		9
									2008-01-08T09:00:00.000	1	0003	1	3.516	1	125.859	1		9	38.262	1	15.620	1	8.525	1		9
									2008-01-08T12:00:00.000	1	0003	1	9.668	1	164.531	1		9	38.301	1	15.645	1	8.569	1		9
									2008-01-08T15:00:00.000	1	0003	1	4.395	1	174.727	1		9	38.232	1	15.669	1	8.599	1		9
									2008-01-08T18:00:00.000	1	0003	1	3.809	1	124.102	3		9	38.242	1	15.596	1	8.584	1		9
									2008-01-08T21:00:00.000	1	0003	1	3.516	1	240.469	3		9	38.301	1	15.620	1	8.584	1		9
									2008-01-09T00:00:00.000	1	0003	1	7.031	1	235.547	1		9	38.281	1	15.596	1	8.628	1		9
									2008-01-09T03:00:00.000	1	0003	1	11.133	1	228.164	1		9	38.330	1	15.669	1	8.569	1		9
									2008-01-09T06:00:00.000	1	0003	1	11.426	1	185.977	1		9	38.301	1	15.693	1	8.555	1		9
									2008-01-09T09:00:00.000	1	0003	1	10.840	1	185.273	1		9	38.271	1	15.693	1	8.555	1		9
									2008-01-09T12:00:00.000	1	0003	1	7.910	1	192.305	1		9	38.330	1	15.645	1	8.555	1		9
									2008-01-09T15:00:00.000	1	0003	1	4.102	1	160.312	1		9	38.330	1	15.645	1	8.569	1		9
									2008-01-09T18:00:00.000	1	0003	1	14.941	1	186.680	1		9	38.369	1	15.669	1	8.599	1		9
									2008-01-09T21:00:00.000	1	0003	1	7.324	1	244.336	1		9	38.486	1	16.011	1	8.525	1		9
									2008-01-10T00:00:00.000	1	0003	1	10.254	1	267.891	1		9	38.438	1	16.011	1	8.481	1		9
									2008-01-10T03:00:00.000	1	0003	1	9.082	1	269.297	1		9	38.467	1	16.011	1	8.481	1		9
									2008-01-10T06:00:00.000	1	0003	1	9.961	1	238.711	1		9	38.447	1	15.938	1	8.511	1		9
									2008-01-10T09:00:00.000	1	0003	1	8.203	1	213.047	1		9	38.438	1	15.864	1	8.511	1		9
									2008-01-10T12:00:00.000	1	0003	1	7.617	1	125.508	1		9	38.389	1	15.864	1	8.511	1		9
									2008-01-10T15:00:00.000	1	0003	1	2.637	1	119.531	1		9	38.330	1	15.864	1	8.496	1		9
